"Symbol","Name","Industry","Market cap","Shares Short","Outstanding Shares","Percent Short","Average Analyst Rating(lower is better)","Last close price","Analyst target price","Target Increase","Action"
"SPCB","Supercom, Ltd.","Security & Protection Services","$26,997","602,262","19,998","3,011.61%","","$1.35","$2.00","48.15%","Analyze"
"GOED","1847 Goedeker Inc.","Internet Retail","$23,528,120","8,534,353","6,111,200","139.65%","","$3.89","$0.00","-100.00%","Analyze"
"WKHS","Workhorse Group Inc","Auto Manufacturers","$2,044,888,692","40,749,756","123,260,319","33.06%","1.43","$15.64","$12.70","-18.80%","Analyze"
"PUBM","PubMatic, Inc.","Software—Application","$350,340,807","2,859,220","8,967,003","31.89%","1.30","$36.78","$48.86","32.84%","Analyze"
"AGC","Altimeter Growth Corp. - Class A","Shell Companies","$585,000,000","15,940,753","50,000,000","31.88%","","$11.64","$0.00","-100.00%","Analyze"
"ESPR","Esperion Therapeutics Inc","Biotechnology","$596,263,634","8,949,090","28,192,134","31.74%","1.50","$21.37","$49.27","130.56%","Analyze"
"TDUP","ThredUp Inc.","","$436,865,147","4,327,914","15,022,873","28.81%","","$27.27","$24.83","-8.95%","Analyze"
"CLOV","Clover Health Investments, Corp.  - Class A","Healthcare Plans","$5,869,629,562","41,400,749","148,279,247","27.92%","1.00","$12.33","$9.50","-22.95%","Analyze"
"GEO","The GEO Group, Inc","REIT—Healthcare Facilities","$871,400,702","33,623,402","122,387,739","27.47%","1.00","$7.24","$12.75","76.10%","Analyze"
"CLVS","Clovis Oncology Inc","Biotechnology","$606,476,872","28,646,533","104,564,978","27.40%","2.14","$5.80","$6.35","9.48%","Analyze"
"IVC","Invacare Corp","Medical Devices","$282,058,774","9,568,277","34,951,521","27.38%","1.50","$8.17","$16.00","95.84%","Analyze"
"BEEM","Beam Global","Solar","$340,470,931","2,404,641","8,887,260","27.06%","1.33","$35.43","$41.75","17.84%","Analyze"
"BLNK","Blink Charging Co.","Specialty Retail","$1,728,483,750","11,150,837","41,984,060","26.56%","1.50","$39.78","$42.00","5.58%","Analyze"
"WPG","Washington Prime Group Inc","REIT—Retail","$40,937,436","6,405,669","24,459,701","26.19%","2.00","$2.32","$3.00","29.31%","Analyze"
"SDC","SmileDirectClub, Inc.","Medical Devices","$1,026,428,627","30,260,750","118,252,146","25.59%","1.50","$8.39","$10.95","30.51%","Analyze"
"FUV","Arcimoto Inc.","Recreational Vehicles","$615,109,770","8,975,570","35,783,000","25.08%","1.60","$15.56","$11.75","-24.49%","Analyze"
"OCGN","Ocugen, Inc.","Biotechnology","$1,591,775,120","49,308,050","198,228,533","24.87%","1.38","$7.83","$5.38","-31.29%","Analyze"
"MSTR","Microstrategy Inc Class A","Software—Application","$6,158,286,311","1,914,837","7,782,568","24.60%","3.00","$650.86","$667.50","2.56%","Analyze"
"KDMN","Kadmon Holdings, Inc.","Biotechnology","$665,538,854","42,282,651","171,973,864","24.59%","1.17","$4.04","$12.17","201.24%","Analyze"
"GDRX","GoodRx Holdings, Inc.","Health Information Services","$2,504,701,693","16,869,728","69,555,726","24.25%","1.61","$34.60","$43.23","24.94%","Analyze"
"EVFM","Evofem Biosciences Inc","Biotechnology","$116,204,312","24,903,931","102,835,674","24.22%","1.50","$1.10","$6.40","481.82%","Analyze"
"HRTX","Heron Therapeutics Inc","Biotechnology","$1,580,393,902","24,049,037","101,829,504","23.62%","1.06","$15.00","$32.89","119.27%","Analyze"
"XERS","Xeris Pharmaceuticals Inc","Biotechnology","$270,096,002","15,571,883","66,362,654","23.46%","1.20","$4.17","$10.00","139.81%","Analyze"
"FRX","Forest Road Acquisition Corp. Class A","Shell Companies","$678,600","6,100,214","26,100,000","23.37%","","$0.03","$0.00","-100.00%","Analyze"
"CVM","Cel-Sci Corporation","Biotechnology","$370,975,084","9,853,725","42,739,065","23.06%","","$8.65","$12.00","38.73%","Analyze"
"FSR","Fisker Inc. Class A","Auto Manufacturers","$3,143,784,576","36,592,200","163,059,366","22.44%","1.56","$18.42","$23.22","26.06%","Analyze"
"PETS","Petmed Express Inc","Pharmaceutical Retailers","$645,577,619","4,526,097","20,269,313","22.33%","2.25","$34.00","$31.50","-7.35%","Analyze"
"INO","Inovio Pharmaceuticals Inc","Biotechnology","$1,941,131,140","46,740,309","209,399,260","22.32%","1.88","$9.46","$13.22","39.75%","Analyze"
"POSH","Poshmark, Inc.","Internet Retail","$735,882,024","3,425,571","15,414,370","22.22%","","$44.76","$54.25","21.20%","Analyze"
"BCEL","Atreca, Inc. - Class A","Biotechnology","$257,119,687","6,531,814","30,178,367","21.64%","1.11","$8.65","$29.89","245.55%","Analyze"
"CVNA","Carvana Class A","Internet Retail","$14,125,176,000","17,163,310","80,972,031","21.20%","1.48","$308.01","$325.76","5.76%","Analyze"
"RIOT","Riot Blockchain","Software—Application","$3,169,732,054","17,653,971","84,144,732","20.98%","1.50","$36.21","$46.70","28.97%","Analyze"
"BGS","B And G Foods Inc","Packaged Foods","$2,123,869,110","13,277,653","64,752,107","20.51%","2.00","$31.66","$28.25","-10.77%","Analyze"
"GPRE","Green Plains Inc","Specialty Chemicals","$1,500,355,033","9,067,159","44,626,860","20.32%","1.36","$34.36","$40.29","17.26%","Analyze"
"BGFV","Big 5 Sporting Goods Corp","Specialty Retail","$572,412,593","4,511,546","22,290,210","20.24%","1.00","$26.90","$26.00","-3.35%","Analyze"
"COWN","Cowen Inc","Capital Markets","$1,102,905,867","5,389,129","26,867,378","20.06%","1.38","$41.47","$57.20","37.93%","Analyze"
"ARCH","Arch Coal Inc Class A","Thermal Coal","$871,455,824","3,066,025","15,294,065","20.05%","1.50","$57.80","$58.00","0.35%","Analyze"
"AMCX","AMC Networks Class A","Broadcasting","$2,052,849,170","6,108,210","30,731,275","19.88%","2.07","$65.99","$47.72","-27.69%","Analyze"
"FLGT","Fulgent Genetics Inc","Diagnostics & Research","$2,675,150,149","5,741,123","29,005,206","19.79%","1.75","$87.44","$87.00","-0.50%","Analyze"
"VXRT","Vaxart Inc","Biotechnology","$915,790,713","24,148,128","122,268,453","19.75%","1.17","$7.68","$13.40","74.48%","Analyze"
"OMER","Omeros Corp","Biotechnology","$924,953,011","12,220,762","62,328,370","19.61%","1.50","$15.66","$37.43","139.02%","Analyze"
