timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,142.47,144.45,142.03,142.83,142.83,74602044,0,1
9/28/2021,143.25,144.75,141.69,141.91,141.91,108972340,0,1
9/27/2021,145.47,145.96,143.82,145.37,145.37,74150729,0,1
9/24/2021,145.66,147.4701,145.56,146.92,146.92,53477869,0,1
9/23/2021,146.65,147.08,145.64,146.83,146.83,64838170,0,1
9/22/2021,144.45,146.43,143.7001,145.85,145.85,76404341,0,1
9/21/2021,143.93,144.6,142.78,143.43,143.43,75833962,0,1
9/20/2021,143.8,144.84,141.27,142.94,142.94,123478863,0,1
9/17/2021,148.82,148.82,145.76,146.06,146.06,129868824,0,1
9/16/2021,148.44,148.97,147.221,148.79,148.79,68034149,0,1
9/15/2021,148.56,149.44,146.37,149.03,149.03,83281315,0,1
9/14/2021,150.35,151.07,146.91,148.12,148.12,109296295,0,1
9/13/2021,150.63,151.42,148.75,149.55,149.55,102404329,0,1
9/10/2021,155,155.48,148.7,148.97,148.97,140893235,0,1
9/9/2021,155.49,156.11,153.95,154.07,154.07,57305730,0,1
9/8/2021,156.98,157.04,153.975,155.11,155.11,74420207,0,1
9/7/2021,154.97,157.26,154.39,156.69,156.69,82278261,0,1
9/3/2021,153.76,154.63,153.09,154.3,154.3,57866066,0,1
9/2/2021,153.87,154.72,152.4,153.65,153.65,71171317,0,1
9/1/2021,152.83,154.98,152.34,152.51,152.51,80313711,0,1
8/31/2021,152.66,152.8,151.29,151.83,151.83,86453117,0,1
8/30/2021,149,153.49,148.61,153.12,153.12,90956723,0,1
8/27/2021,147.48,148.75,146.83,148.6,148.6,55802388,0,1
8/26/2021,148.35,149.12,147.51,147.54,147.54,48597195,0,1
8/25/2021,149.81,150.32,147.8,148.36,148.36,58991297,0,1
8/24/2021,149.45,150.86,149.15,149.62,149.62,48606428,0,1
8/23/2021,148.31,150.19,147.89,149.71,149.71,60131810,0,1
8/20/2021,147.44,148.5,146.78,148.19,148.19,60549630,0,1
8/19/2021,145.03,148,144.5,146.7,146.7,86960310,0,1
8/18/2021,149.8,150.72,146.15,146.36,146.36,86325990,0,1
8/17/2021,150.23,151.68,149.09,150.19,150.19,92229735,0,1
8/16/2021,148.535,151.19,146.47,151.12,151.12,103558782,0,1
8/13/2021,148.97,149.4444,148.27,149.1,149.1,58846293,0,1
8/12/2021,146.19,149.05,145.84,148.89,148.89,73779113,0,1
8/11/2021,146.05,146.72,145.53,145.86,145.86,48493463,0,1
8/10/2021,146.44,147.71,145.3,145.6,145.6,69023081,0,1
8/9/2021,146.2,146.7,145.52,146.09,146.09,48908689,0,1
8/6/2021,146.35,147.11,145.63,146.14,146.14,54126813,0.22,1
8/5/2021,146.98,147.84,146.17,147.06,146.8389478,46397674,0,1
8/4/2021,147.27,147.79,146.28,146.95,146.7291131,56368271,0,1
8/3/2021,145.81,148.045,145.18,147.36,147.1384969,64786618,0,1
8/2/2021,146.36,146.95,145.25,145.52,145.3012626,62879961,0,1
7/30/2021,144.38,146.33,144.11,145.86,145.6407516,70440626,0,1
7/29/2021,144.685,146.55,144.58,145.64,145.4210823,54323047,0,1
7/28/2021,144.81,146.97,142.54,144.98,144.7620743,118931191,0,1
7/27/2021,149.12,149.21,145.55,146.77,146.5493837,104818578,0,1
7/26/2021,148.27,149.83,147.7,148.99,148.7660467,72434089,0,1
