timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/30/2021,6.41,7.69,6.335,7.35,7.35,3971660,0,1
9/29/2021,6.01,6.69,5.9536,6.41,6.41,1721535,0,1
9/28/2021,6.03,6.31,5.69,6.09,6.09,1092241,0,1
9/27/2021,6.35,6.6,5.985,6.03,6.03,1078928,0,1
9/24/2021,5.91,6.46,5.9,6.34,6.34,1478319,0,1
9/23/2021,6.01,6.355,5.84,6.02,6.02,1655103,0,1
9/22/2021,5.43,6.14,5.31,5.95,5.95,3130339,0,1
9/21/2021,4.7,5.8999,4.66,5.53,5.53,3745246,0,1
9/20/2021,4.87,5.1196,4.69,4.73,4.73,1958270,0,1
9/17/2021,4.94,5.4,4.9,5.04,5.04,2201440,0,1
9/16/2021,5.2,5.54,4.73,5.05,5.05,7262237,0,1
9/15/2021,3.89,5.73,3.52,5.61,5.61,26534421,0,1
9/14/2021,4.04,4.07,3.84,3.88,3.88,564159,0,1
9/13/2021,3.98,4.01,3.86,3.95,3.95,488738,0,1
9/10/2021,4.09,4.105,3.88,3.9,3.9,382698,0,1
9/9/2021,4.2,4.38,3.94,4.08,4.08,807314,0,1
9/8/2021,4.34,4.39,4.18,4.18,4.18,193964,0,1
9/7/2021,4.4,4.59,4.24,4.32,4.32,688420,0,1
9/3/2021,4.17,4.4,4.05,4.37,4.37,411060,0,1
9/2/2021,4.09,4.35,4.0882,4.13,4.13,392386,0,1
9/1/2021,4.09,4.18,4.03,4.08,4.08,383469,0,1
8/31/2021,4.11,4.21,4.08,4.16,4.16,296966,0,1
8/30/2021,4.14,4.22,4.06,4.08,4.08,310322,0,1
8/27/2021,4,4.23,4,4.12,4.12,365639,0,1
8/26/2021,4.11,4.21,3.98,4.02,4.02,332090,0,1
8/25/2021,4.12,4.22,4.09,4.15,4.15,259761,0,1
8/24/2021,3.93,4.2,3.93,4.13,4.13,435995,0,1
8/23/2021,3.97,4.03,3.84,3.89,3.89,452828,0,1
8/20/2021,3.69,4.01,3.68,3.92,3.92,440660,0,1
8/19/2021,3.88,3.97,3.66,3.66,3.66,709720,0,1
8/18/2021,3.91,4.06,3.86,3.91,3.91,285143,0,1
8/17/2021,4,4.1345,3.88,3.91,3.91,719937,0,1
8/16/2021,4.08,4.14,3.99,4.01,4.01,353568,0,1
8/13/2021,4.25,4.28,4.06,4.15,4.15,598617,0,1
8/12/2021,4.34,4.44,4.24,4.26,4.26,449303,0,1
8/11/2021,4.67,4.67,4.355,4.4,4.4,796661,0,1
8/10/2021,4.48,4.68,4.32,4.64,4.64,583734,0,1
8/9/2021,4.24,4.8299,4.22,4.53,4.53,1997956,0,1
8/6/2021,4.06,4.34,3.99,4.32,4.32,662236,0,1
8/5/2021,3.84,4.315,3.8,4.06,4.06,1510331,0,1
8/4/2021,4.3,4.53,3.8,3.8,3.8,1930866,0,1
8/3/2021,4.2,4.41,3.93,4.35,4.35,1766558,0,1
8/2/2021,4.28,4.515,3.97,4.41,4.41,2256294,0,1
7/30/2021,3.81,4.63,3.78,4.4,4.4,6105505,0,1
7/29/2021,3.7,4.3,3.64,4,4,3282731,0,1
7/28/2021,3.62,3.705,3.54,3.67,3.67,604697,0,1
7/27/2021,3.67,3.86,3.57,3.64,3.64,523357,0,1
7/26/2021,3.7,3.771,3.57,3.69,3.69,590395,0,1
7/23/2021,3.79,3.79,3.67,3.71,3.71,274265,0,1
7/22/2021,3.86,3.8799,3.725,3.75,3.75,316281,0,1
7/21/2021,3.85,3.89,3.78,3.83,3.83,340414,0,1
7/20/2021,3.98,3.99,3.75,3.82,3.82,648131,0,1
7/19/2021,3.61,4.02,3.5534,4,4,1017710,0,1
7/16/2021,3.86,3.8723,3.65,3.68,3.68,540183,0,1
7/15/2021,3.84,3.9267,3.76,3.82,3.82,337975,0,1
7/14/2021,4.14,4.1404,3.805,3.84,3.84,531945,0,1
7/13/2021,4.16,4.22,4.06,4.08,4.08,271451,0,1
7/12/2021,4.22,4.3,4.065,4.21,4.21,326611,0,1
7/9/2021,4,4.24,3.9301,4.23,4.23,497755,0,1
7/8/2021,3.82,4.08,3.74,3.96,3.96,616901,0,1
7/7/2021,4.15,4.15,3.83,3.89,3.89,873054,0,1
7/6/2021,4.1,4.1773,4,4.05,4.05,718276,0,1
7/2/2021,4.24,4.25,4.055,4.11,4.11,641597,0,1
7/1/2021,4.3,4.305,4.08,4.2,4.2,871848,0,1
6/30/2021,4.41,4.5,4.27,4.28,4.28,689832,0,1
6/29/2021,4.65,4.68,4.37,4.39,4.39,633947,0,1
6/28/2021,4.57,4.7,4.43,4.65,4.65,868667,0,1
6/25/2021,4.46,4.75,4.46,4.52,4.52,828594,0,1
6/24/2021,4.53,4.58,4.43,4.45,4.45,750646,0,1
6/23/2021,4.19,4.55,4.19,4.49,4.49,1941123,0,1
6/22/2021,4.13,4.39,4.12,4.22,4.22,1371567,0,1
6/21/2021,4.16,4.18,4.015,4.11,4.11,910459,0,1
6/18/2021,4.2,4.23,4.05,4.16,4.16,1283055,0,1
6/17/2021,4.33,4.39,4.1301,4.25,4.25,2080446,0,1
6/16/2021,4.33,4.55,4.28,4.34,4.34,7274930,0,1
6/15/2021,5.9,5.95,5.495,5.53,5.53,920650,0,1
6/14/2021,6,6.38,5.815,5.85,5.85,719384,0,1
6/11/2021,6.04,6.195,5.9701,6.1,6.1,437463,0,1
6/10/2021,5.68,6.7,5.68,6.03,6.03,2542048,0,1
6/9/2021,5.57,5.78,5.475,5.62,5.62,465044,0,1
6/8/2021,5.27,5.67,5.23,5.5,5.5,501158,0,1
6/7/2021,5.13,5.365,5.1101,5.21,5.21,279428,0,1
6/4/2021,5.12,5.3,5.1,5.13,5.13,298360,0,1
6/3/2021,5.6,5.79,5.05,5.1,5.1,1059118,0,1
6/2/2021,4.84,5.83,4.75,5.6,5.6,1699028,0,1
6/1/2021,5,5.1,4.72,4.75,4.75,586480,0,1
5/28/2021,5.09,5.26,4.92,5,5,315745,0,1
5/27/2021,4.81,5.09,4.76,4.99,4.99,305871,0,1
5/26/2021,4.65,4.8315,4.64,4.8,4.8,301761,0,1
5/25/2021,4.64,4.74,4.54,4.63,4.63,305269,0,1
5/24/2021,4.91,4.92,4.52,4.6,4.6,545079,0,1
5/21/2021,4.69,5.015,4.5778,4.85,4.85,573327,0,1
5/20/2021,4.52,4.68,4.52,4.6,4.6,160516,0,1
5/19/2021,4.55,4.65,4.51,4.56,4.56,173661,0,1
