timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,13.26,13.57,13.08,13.21,13.21,768155,0,1
9/28/2021,13.53,13.57,12.93,13.2,13.2,1437987,0,1
9/27/2021,12.92,13.77,12.9101,13.61,13.61,1237079,0,1
9/24/2021,13.13,13.38,12.66,13.01,13.01,1207414,0,1
9/23/2021,12.77,13.28,12.525,13.21,13.21,1522421,0,1
9/22/2021,12.68,12.99,12.5,12.66,12.66,934733,0,1
9/21/2021,12.51,12.79,12.26,12.56,12.56,902753,0,1
9/20/2021,12.5,12.71,12.38,12.51,12.51,1766947,0,1
9/17/2021,12.41,13.25,12.41,13.03,13.03,2080908,0,1
9/16/2021,12.39,12.5849,12.38,12.53,12.53,1129884,0,1
9/15/2021,12.39,12.64,12.37,12.49,12.49,752883,0,1
9/14/2021,12.75,12.87,12.3,12.42,12.42,1194086,0,1
9/13/2021,12.49,12.9499,12.3201,12.62,12.62,1522295,0,1
9/10/2021,12.46,12.6999,12.3,12.48,12.48,1241980,0,1
9/9/2021,12,12.47,11.9108,12.44,12.44,1017703,0,1
9/8/2021,12.78,12.8,11.97,12.1,12.1,2451735,0,1
9/7/2021,12.71,12.92,12.2,12.82,12.82,1945009,0,1
9/3/2021,12.49,12.85,12.29,12.64,12.64,1221940,0,1
9/2/2021,12.14,12.6,12.11,12.4,12.4,1386642,0,1
9/1/2021,11.66,12.21,11.51,12.14,12.14,1324945,0,1
8/31/2021,11.82,12.03,11.4,11.77,11.77,1478759,0,1
8/30/2021,11.27,12.07,10.77,11.9,11.9,2843563,0,1
8/27/2021,11,11.25,10.68,11.13,11.13,1381839,0,1
8/26/2021,10.63,11.02,10.6,10.87,10.87,1311670,0,1
8/25/2021,10.95,11,10.44,10.67,10.67,2125619,0,1
8/24/2021,10.7194,11.135,10.7194,10.99,10.99,1258281,0,1
8/23/2021,10.3713,10.79,10.24,10.6,10.6,1589366,0,1
8/20/2021,10.11,10.49,10,10.35,10.35,2344673,0,1
8/19/2021,10.89,10.99,10.115,10.16,10.16,2903169,0,1
8/18/2021,10.91,11.06,10.75,10.91,10.91,2312145,0,1
8/17/2021,10.75,11.0857,10.4,10.85,10.85,3729870,0,1
8/16/2021,10.81,10.91,10.21,10.8,10.8,3351325,0,1
8/13/2021,11.98,12.11,10.7,10.75,10.75,4182819,0,1
8/12/2021,12.49,12.69,11.82,11.87,11.87,2186143,0,1
8/11/2021,13.7,13.94,12.526,12.8,12.8,1970256,0,1
8/10/2021,13.41,13.9,13.23,13.64,13.64,2411002,0,1
8/9/2021,12.12,13.44,12.1,13.09,13.09,1810666,0,1
8/6/2021,12.15,12.34,12.0277,12.19,12.19,1150541,0,1
8/5/2021,12.21,12.4533,11.54,11.96,11.96,3104836,0,1
8/4/2021,11.88,12.2,11.6395,11.85,11.85,1975001,0,1
8/3/2021,12.99,13.16,11.855,11.94,11.94,4463793,0,1
8/2/2021,13.02,13.22,12.82,12.84,12.84,1304248,0,1
7/30/2021,13,13.1999,12.71,12.87,12.87,1485533,0,1
7/29/2021,13.61,13.78,12.86,13.01,13.01,2493068,0,1
7/28/2021,13.15,13.61,13.15,13.48,13.48,1333760,0,1
7/27/2021,13.73,13.77,13.02,13.15,13.15,1883166,0,1
7/26/2021,13.71,13.9922,13.41,13.79,13.79,1333816,0,1
7/23/2021,13.91,14,13.47,13.81,13.81,1990228,0,1
7/22/2021,14.09,14.14,13.78,14,14,1898101,0,1
7/21/2021,13.87,14.48,13.77,14.14,14.14,1731481,0,1
