timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
10/18/2021,6.78,8.1,6.5,7.9,7.9,6855930,0,1
10/15/2021,6.4,7.36,6.17,6.99,6.99,8891835,0,1
10/14/2021,5.78,6.15,5.56,6.07,6.07,3033242,0,1
10/13/2021,5.545,5.78,5.13,5.53,5.53,3360044,0,1
10/12/2021,6.33,6.4429,5.32,5.41,5.41,3444720,0,1
10/11/2021,7.19,7.19,6.12,6.14,6.14,6792016,0,1
10/8/2021,9.07,9.07,7.69,7.89,7.89,917687,0,1
10/7/2021,9.98,10.15,8.7801,8.91,8.91,469051,0,1
10/6/2021,10.47,10.9499,9.62,9.86,9.86,288585,0,1
10/5/2021,9.67,10.67,9.52,10.26,10.26,209269,0,1
10/4/2021,9.86,9.86,8.66,9.67,9.67,319256,0,1
10/1/2021,10.81,10.99,9.72,9.74,9.74,318403,0,1
9/30/2021,11.31,11.83,10.1,10.34,10.34,271688,0,1
9/29/2021,10.42,11.34,10.3522,11.2,11.2,170504,0,1
9/28/2021,10.19,10.3922,9.81,10.33,10.33,161031,0,1
9/27/2021,11.03,11.0977,10.15,10.19,10.19,252265,0,1
9/24/2021,10.99,11.48,10.9,11.25,11.25,257084,0,1
9/23/2021,12.25,12.44,11.12,11.23,11.23,243571,0,1
9/22/2021,13.19,13.19,12.05,12.13,12.13,242965,0,1
9/21/2021,12.28,13.09,12.02,12.31,12.31,100604,0,1
9/20/2021,12.99,13.15,11.47,12.31,12.31,286025,0,1
9/17/2021,15.06,15.3899,13.56,13.56,13.56,378459,0,1
9/16/2021,13.04,14.99,13.04,14.52,14.52,454509,0,1
9/15/2021,12.75,13.29,12.65,12.98,12.98,213665,0,1
9/14/2021,13.49,13.5,12.54,12.55,12.55,114436,0,1
9/13/2021,13.38,13.4,13.06,13.28,13.28,163213,0,1
9/10/2021,13.1,13.33,12.5,13.2,13.2,754135,0,1
9/9/2021,12.2,13.41,12.2,13.07,13.07,459109,0,1
9/8/2021,11.6,12.24,11.33,12.17,12.17,429579,0,1
9/7/2021,11.95,12.24,11.37,11.75,11.75,330877,0,1
9/3/2021,11.14,11.56,10.95,11.49,11.49,265562,0,1
9/2/2021,10.5,11.58,10.5,11.03,11.03,511520,0,1
9/1/2021,10.84,10.95,10.22,10.4,10.4,392004,0,1
8/31/2021,10.9,11.1,10.61,10.77,10.77,359673,0,1
8/30/2021,10.21,10.35,10,10.27,10.27,368600,0,1
8/27/2021,10.55,11.4,10.05,10.5,10.5,1013605,0,1
8/26/2021,9.9651,12.8,9.2,11.34,11.34,5060364,0,1
8/25/2021,9.82,11.725,9.77,10.02,10.02,1191169,0,1
8/24/2021,9.87,9.88,9.75,9.76,9.76,43150,0,1
8/23/2021,9.74,10.03,9.73,9.94,9.94,211266,0,1
8/20/2021,9.73,9.98,9.65,9.69,9.69,194922,0,1
8/19/2021,9.97,9.9801,9.97,9.98,9.98,423443,0,1
8/18/2021,9.97,9.98,9.97,9.98,9.98,512565,0,1
8/17/2021,9.985,9.99,9.97,9.98,9.98,672980,0,1
8/16/2021,9.97,9.995,9.97,9.98,9.98,373025,0,1
8/13/2021,9.98,10,9.97,9.97,9.97,98736,0,1
8/12/2021,9.98,10,9.97,9.97,9.97,288503,0,1
8/11/2021,9.98,10.005,9.975,10,10,397363,0,1
8/10/2021,10,10,9.96,9.98,9.98,262432,0,1
8/9/2021,9.99,10.01,9.96,9.965,9.965,706435,0,1
8/6/2021,9.95,10.01,9.95,9.97,9.97,376534,0,1
8/5/2021,9.95,9.97,9.94,9.97,9.97,228966,0,1
8/4/2021,9.94,9.96,9.94,9.96,9.96,44326,0,1
8/3/2021,9.96,9.9763,9.92,9.95,9.95,398466,0,1
8/2/2021,9.93,9.95,9.91,9.94,9.94,25506,0,1
7/30/2021,9.91,9.95,9.91,9.92,9.92,60555,0,1
7/29/2021,9.92,9.93,9.92,9.92,9.92,27236,0,1
7/28/2021,9.92,9.9449,9.92,9.93,9.93,23998,0,1
7/27/2021,9.96,9.96,9.92,9.94,9.94,35180,0,1
