timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
10/18/2021,11.79,12.42,11.4,12.32,12.32,6449732,0,1
10/15/2021,11.8,12.1863,11.31,11.91,11.91,7825021,0,1
10/14/2021,10.65,11.86,10.57,11.63,11.63,6221365,0,1
10/13/2021,11.12,11.68,10.24,10.25,10.25,4779322,0,1
10/12/2021,9.68,11.27,9.64,10.83,10.83,16754075,0,1
10/11/2021,10.44,10.46,9.44,9.47,9.47,5234218,0,1
10/8/2021,11.12,11.15,10.32,10.33,10.33,9224755,0,1
10/7/2021,10.72,11.65,10.59,11.22,11.22,20946878,0,1
10/6/2021,11.49,11.75,9.13,10.59,10.59,60428425,0,1
10/5/2021,11.65,12.27,11.37,11.98,11.98,6833678,0,1
10/4/2021,11.65,11.725,11.25,11.38,11.38,12101986,0,1
10/1/2021,11.66,11.72,11.2,11.51,11.51,9818501,0,1
9/30/2021,12.24,12.29,11.41,11.59,11.59,7126989,0,1
9/29/2021,13,13.11,12.01,12.2,12.2,7505584,0,1
9/28/2021,13,13.13,12.15,12.87,12.87,8053891,0,1
9/27/2021,13.06,13.74,12.88,13.28,13.28,6148712,0,1
9/24/2021,12.23,12.79,11.91,12.6,12.6,3967185,0,1
9/23/2021,12.2,12.71,11.85,12.3,12.3,5887227,0,1
9/22/2021,12.11,12.96,11.78,11.87,11.87,7678915,0,1
9/21/2021,11.6,12.39,11.38,11.7,11.7,8749283,0,1
9/20/2021,12.05,12.5,10.8,11.11,11.11,9354611,0,1
9/17/2021,11.15,14.25,11.1,12.18,12.18,19584013,0,1
9/16/2021,10.19,11.5,10.01,11.42,11.42,7596541,0,1
9/15/2021,9.9,10.32,9.75,10.13,10.13,3320249,0,1
9/14/2021,9.26,10.82,9.25,9.87,9.87,10614652,0,1
9/13/2021,9.88,9.88,8.9,9.15,9.15,6504883,0,1
9/10/2021,9.97,10.02,9.81,9.81,9.81,3661119,0,1
9/9/2021,9.9,10.01,9.8007,9.94,9.94,4318810,0,1
9/8/2021,9.96,10.02,9.74,9.93,9.93,15323393,0,1
9/7/2021,9.98,10,9.96,9.96,9.96,9036106,0,1
9/3/2021,9.98,10.05,9.97,9.98,9.98,6985288,0,1
9/2/2021,9.97,9.98,9.97,9.975,9.975,1249794,0,1
9/1/2021,9.98,9.98,9.96,9.97,9.97,4779474,0,1
8/31/2021,9.96,9.98,9.96,9.97,9.97,6482554,0,1
8/30/2021,9.96,9.98,9.96,9.96,9.96,2058605,0,1
8/27/2021,9.965,9.98,9.96,9.97,9.97,8779248,0,1
8/26/2021,9.98,9.98,9.96,9.97,9.97,1911747,0,1
8/25/2021,9.97,9.98,9.95,9.98,9.98,4335541,0,1
8/24/2021,9.95,9.98,9.95,9.95,9.95,4546458,0,1
8/23/2021,9.96,9.975,9.94,9.95,9.95,4050090,0,1
8/20/2021,9.96,9.98,9.94,9.95,9.95,2336301,0,1
8/19/2021,9.96,9.99,9.95,9.97,9.97,6633020,0,1
8/18/2021,9.98,10,9.96,9.97,9.97,4241709,0,1
8/17/2021,9.98,10.005,9.95,9.97,9.97,5267450,0,1
8/16/2021,10,10.02,9.96,9.96,9.96,5138090,0,1
8/13/2021,10.0356,10.04,9.97,9.98,9.98,7612838,0,1
8/12/2021,10.12,10.17,10,10.03,10.03,7220046,0,1
8/11/2021,10.0737,10.27,10.05,10.09,10.09,15342059,0,1
8/10/2021,10.04,10.06,10.01,10.05,10.05,13867894,0,1
8/9/2021,10.01,10.01,9.98,10,10,22695166,0,1
8/6/2021,9.96,10.01,9.95,10.01,10.01,13231228,0,1
8/5/2021,9.95,9.97,9.92,9.95,9.95,9792859,0,1
8/4/2021,9.88,9.94,9.87,9.9,9.9,11405546,0,1
8/3/2021,9.88,9.9,9.87,9.89,9.89,1090518,0,1
8/2/2021,9.91,9.91,9.86,9.87,9.87,584431,0,1
7/30/2021,9.86,9.915,9.85,9.87,9.87,1648851,0,1
7/29/2021,9.87,9.88,9.8301,9.85,9.85,3325541,0,1
7/28/2021,9.88,9.89,9.8586,9.86,9.86,1157545,0,1
7/27/2021,9.89,9.9,9.86,9.89,9.89,2695337,0,1
7/26/2021,9.92,9.93,9.89,9.9,9.9,4291664,0,1
7/23/2021,9.94,9.94,9.9,9.91,9.91,4894377,0,1
7/22/2021,9.95,9.97,9.91,9.93,9.93,2294506,0,1
7/21/2021,9.92,9.96,9.9,9.94,9.94,1119511,0,1
7/20/2021,9.92,9.92,9.87,9.9,9.9,1507534,0,1
7/19/2021,9.8964,9.935,9.875,9.92,9.92,2235444,0,1
7/16/2021,9.92,9.939,9.89,9.91,9.91,1668578,0,1
7/15/2021,9.91,9.97,9.89,9.93,9.93,3378815,0,1
7/14/2021,9.93,9.95,9.9,9.91,9.91,2225651,0,1
7/13/2021,9.94,9.98,9.92,9.94,9.94,755974,0,1
7/12/2021,9.99,10,9.9401,9.95,9.95,824416,0,1
7/9/2021,9.93,10.035,9.9,9.99,9.99,2620616,0,1
7/8/2021,9.93,9.95,9.89,9.91,9.91,2434155,0,1
7/7/2021,10.01,10.01,9.96,9.98,9.98,857430,0,1
7/6/2021,10.04,10.05,9.99,10.01,10.01,1319547,0,1
7/2/2021,9.99,10.05,9.98,10.03,10.03,3237439,0,1
7/1/2021,9.97,10.02,9.95,9.96,9.96,975527,0,1
6/30/2021,9.99,9.99,9.95,9.96,9.96,810051,0,1
6/29/2021,9.94,9.99,9.925,9.98,9.98,4327248,0,1
6/28/2021,9.95,9.98,9.91,9.93,9.93,2685132,0,1
