timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,14.98,16.1493,14.98,15.85,15.85,1818642,0,1
9/28/2021,14.76,15.19,14.73,15.02,15.02,485908,0,1
9/27/2021,14.84,14.95,14.62,14.67,14.67,508406,0,1
9/24/2021,14.88,15.15,14.86,14.89,14.89,273268,0,1
9/23/2021,15.01,15.12,14.76,14.96,14.96,470756,0,1
9/22/2021,15.47,15.54,14.9,14.92,14.92,408861,0,1
9/21/2021,15.36,15.79,15.2,15.29,15.29,785346,0,1
9/20/2021,14.75,15.29,14.67,15.28,15.28,352069,0,1
9/17/2021,14.85,15.04,14.83,14.88,14.88,1694569,0,1
9/16/2021,15.1,15.125,14.79,14.81,14.81,909741,0,1
9/15/2021,14.66,14.95,14.58,14.87,14.87,529386,0,1
9/14/2021,14.85,14.86,14.65,14.72,14.72,264189,0,1
9/13/2021,14.9,15.01,14.75,14.78,14.78,339765,0,1
9/10/2021,14.9,14.9784,14.6,14.7,14.7,389143,0,1
9/9/2021,15,15.18,14.76,14.78,14.78,880493,0,1
9/8/2021,15.3,15.3,15,15,15,465995,0,1
9/7/2021,15.81,16,15.3,15.36,15.36,365351,0,1
9/3/2021,16.29,16.3376,15.72,15.79,15.79,284458,0,1
9/2/2021,16.45,16.45,16.2,16.23,16.23,183378,0,1
9/1/2021,16.25,16.38,16.1,16.36,16.36,299685,0,1
8/31/2021,16.02,16.27,15.9,16.05,16.05,470692,0,1
8/30/2021,16.34,16.4,15.92,15.93,15.93,429742,0,1
8/27/2021,16.45,16.49,16.23,16.27,16.27,358990,0,1
8/26/2021,16.04,16.33,16,16.32,16.32,294461,0,1
8/25/2021,16.09,16.2,15.8,16.06,16.06,494023,0,1
8/24/2021,16.3,16.53,15.5,16.09,16.09,2243130,0,1
8/23/2021,15.95,16.15,15.585,16.05,16.05,863176,0,1
8/20/2021,15.22,15.95,15.22,15.88,15.88,247864,0,1
8/19/2021,15.35,15.56,15.23,15.26,15.26,290591,0,1
8/18/2021,15.74,15.83,15.49,15.5,15.5,438645,0,1
8/17/2021,15.96,16.02,15.3,15.63,15.63,1203342,0,1
8/16/2021,16,16.06,15.85,15.96,15.96,1012755,0,1
8/13/2021,15.43,15.8,15.32,15.78,15.78,571166,0,1
8/12/2021,15.35,15.63,15.25,15.26,15.26,459216,0,1
8/11/2021,15.5,15.75,15.33,15.33,15.33,612129,0,1
8/10/2021,15.4,15.48,15.25,15.36,15.36,1659352,0,1
8/9/2021,15.27,15.39,15.115,15.21,15.21,624202,0,1
8/6/2021,15.03,15.36,15.03,15.05,15.05,526157,0,1
8/5/2021,15.33,15.49,15.01,15.12,15.12,837204,0,1
8/4/2021,15,15.69,15,15.08,15.08,1719825,0,1
8/3/2021,15.43,15.49,14.99,15.06,15.06,1434519,0,1
8/2/2021,15.2,15.78,15.09,15.28,15.28,3160814,0,1
7/30/2021,15,15.4,14.5,14.5,14.5,8347916,0,1
