timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/30/2021,8.3,8.87,8.3,8.7,8.7,3816683,0,1
9/29/2021,8.61,8.85,8.13,8.16,8.16,2744310,0,1
9/28/2021,8.9,8.9,8.26,8.52,8.52,3922570,0,1
9/27/2021,8.85,9.16,8.56,8.99,8.99,2875095,0,1
9/24/2021,8.54,8.78,8.2,8.77,8.77,3226512,0,1
9/23/2021,7.74,8.9,7.66,8.88,8.88,4395351,0,1
9/22/2021,7.51,7.94,7.5,7.58,7.58,3630237,0,1
9/21/2021,7.47,7.62,7.29,7.33,7.33,1836582,0,1
9/20/2021,7.32,7.7698,7.06,7.37,7.37,4732966,0,1
9/17/2021,8.23,8.23,7.74,7.94,7.94,6012902,0,1
9/16/2021,8.22,8.56,7.92,8.25,8.25,2930366,0,1
9/15/2021,9.1,9.17,8.12,8.28,8.28,5016195,0,1
9/14/2021,9.17,9.58,8.91,9.15,9.15,4218404,0,1
9/13/2021,8.77,9.5,8.75,9.05,9.05,4703853,0,1
9/10/2021,8.92,9.33,8.52,8.59,8.59,3647140,0,1
9/9/2021,8.27,8.95,8.22,8.86,8.86,3753249,0,1
9/8/2021,9.11,9.14,8.22,8.27,8.27,4564611,0,1
9/7/2021,9.23,10.06,8.89,9.21,9.21,4756521,0,1
9/3/2021,9.55,9.8199,8.292,9.37,9.37,11397513,0,1
9/2/2021,10.12,11.25,9.36,9.53,9.53,31640577,0,1
9/1/2021,8.6,9.21,8.57,9.08,9.08,7544004,0,1
8/31/2021,7.75,8.36,7.73,8.31,8.31,4156768,0,1
8/30/2021,7.5,8.05,7.38,7.67,7.67,4798844,0,1
8/27/2021,6.67,7.42,6.67,7.31,7.31,5004794,0,1
8/26/2021,6.17,6.8,6.1591,6.66,6.66,3095997,0,1
8/25/2021,6.07,6.34,5.96,6.2,6.2,1936222,0,1
8/24/2021,6.03,6.37,6,6.15,6.15,2464111,0,1
8/23/2021,5.75,6.01,5.75,6,6,2088659,0,1
8/20/2021,5.79,5.85,5.605,5.66,5.66,1261070,0,1
8/19/2021,5.88,6.135,5.62,5.85,5.85,1847636,0,1
8/18/2021,5.75,6.03,5.66,6,6,1367754,0,1
8/17/2021,5.77,5.84,5.52,5.81,5.81,1220244,0,1
8/16/2021,5.6668,5.93,5.54,5.87,5.87,752984,0,1
8/13/2021,5.91,6.19,5.75,5.85,5.85,2099649,0,1
8/12/2021,5.89,5.92,5.765,5.89,5.89,363666,0,1
8/11/2021,5.9,5.93,5.7,5.9,5.9,529090,0,1
8/10/2021,5.61,5.98,5.61,5.93,5.93,658868,0,1
8/9/2021,5.63,5.7,5.49,5.64,5.64,574583,0,1
8/6/2021,5.65,5.83,5.58,5.69,5.69,616171,0,1
8/5/2021,5.68,5.69,5.56,5.6,5.6,561349,0,1
