timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,25.35,25.6,19.66,20.03,20.03,6437254,0,1
9/28/2021,25.07,27.39,24.35,26.36,26.36,5139612,0,1
9/27/2021,25.2715,26.66,23.6179,25.83,25.83,7518749,0,1
9/24/2021,23.4,26.2399,23.3,25.76,25.76,6084538,0,1
9/23/2021,29,29.55,23.61,23.79,23.79,5379157,0,1
9/22/2021,30.6,31.81,29.11,29.41,29.41,3680464,0,1
9/21/2021,32.32,34.83,30.11,30.96,30.96,6674744,0,1
9/20/2021,27.95,33.85,26.18,33.34,33.34,13916437,0,1
9/17/2021,37.26,37.64,29.12,30.26,30.26,16219531,0,1
9/16/2021,43.94,47.5,35.022,41.4,41.4,59565851,0,1
9/15/2021,27.35,32.72,24.45,32.13,32.13,57260822,0,1
9/14/2021,20.35,23.85,19.5,23.32,23.32,8504782,0,1
9/13/2021,20.71,23.23,19.1,19.39,19.39,5406775,0,1
9/10/2021,17.9,24.4,17.7273,21.57,21.57,11547380,0,1
9/9/2021,19.29,19.54,17.25,17.31,17.31,1800398,0,1
9/8/2021,19.19,19.4899,16.75,18.84,18.84,5183611,0,1
9/7/2021,27.91,29.96,18.95,19.59,19.59,33550912,0,1
9/3/2021,14,18.57,13.99,16.66,16.66,7000823,0,1
9/2/2021,13.5,14.4478,12.19,13.5,13.5,1056212,0,1
9/1/2021,14.1,14.36,13.24,13.27,13.27,613326,0,1
8/31/2021,13.77,14.04,13.04,13.43,13.43,937703,0,1
8/30/2021,12.75,15.5,10.84,14,14,3059560,0,1
8/27/2021,13.44,18.41,11.77,12.59,12.59,3257908,0,1
8/26/2021,10.73,13.29,9.99,12.85,12.85,4776600,0,1
