timestamp_PT,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/28/2021,9/29/2021,12.76,13.05,12.5,12.5,12.5,1660900,0,1
9/27/2021,9/28/2021,13.19,13.4,12.61,12.69,12.69,780004,0,1
9/26/2021,9/27/2021,12.99,13.54,12.978,13.4,13.4,649476,0,1
9/23/2021,9/24/2021,13.54,13.649,13.07,13.1,13.1,901836,0,1
9/22/2021,9/23/2021,12.7,13.35,12.58,13.34,13.34,1476989,0,1
9/21/2021,9/22/2021,13.23,13.4,12.36,12.46,12.46,1322945,0,1
9/20/2021,9/21/2021,12.93,13.25,12.78,12.97,12.97,1088073,0,1
9/19/2021,9/20/2021,12.81,12.87,12.088,12.73,12.73,1215219,0,1
9/16/2021,9/17/2021,12.91,13.57,12.74,13.09,13.09,6080292,0,1
9/15/2021,9/16/2021,12.13,12.95,12.12,12.74,12.74,1283068,0,1
9/14/2021,9/15/2021,12.64,12.84,12.025,12.21,12.21,1655188,0,1
9/13/2021,9/14/2021,11.94,12.94,11.8,12.47,12.47,2417113,0,1
9/12/2021,9/13/2021,11.08,12.03,10.97,11.65,11.65,2158935,0,1
9/9/2021,9/10/2021,11.35,11.38,10.9,10.92,10.92,982779,0,1
9/8/2021,9/9/2021,11.29,11.49,11.05,11.19,11.19,1096065,0,1
9/7/2021,9/8/2021,11.81,11.9,11.06,11.17,11.17,1973659,0,1
9/6/2021,9/7/2021,12.23,12.4,11.86,11.9,11.9,972930,0,1
9/2/2021,9/3/2021,12.3,12.33,12.0301,12.2,12.2,497350,0,1
9/1/2021,9/2/2021,12.03,12.33,11.96,12.23,12.23,538160,0,1
8/31/2021,9/1/2021,11.98,12.21,11.93,11.97,11.97,607437,0,1
8/30/2021,8/31/2021,12.15,12.28,11.84,11.96,11.96,747609,0,1
8/29/2021,8/30/2021,12.41,12.46,11.92,12.19,12.19,535594,0,1
8/26/2021,8/27/2021,12.06,12.4,11.97,12.34,12.34,591840,0,1
