timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
10/18/2021,11.03,12.19,11.01,11.77,11.77,412992,0,1
10/15/2021,10.87,11.4936,10.81,11,11,624262,0,1
10/14/2021,10.9,10.9969,10.36,10.74,10.74,179157,0,1
10/13/2021,10.12,10.92,9.8,10.72,10.72,170203,0,1
10/12/2021,10.34,10.85,10.12,10.14,10.14,404743,0,1
10/11/2021,9.58,10.55,9.56,10.41,10.41,320638,0,1
10/8/2021,9.5,9.79,9.33,9.51,9.51,110055,0,1
10/7/2021,9.46,9.64,9.04,9.46,9.46,176913,0,1
10/6/2021,8.61,9.53,8.61,9.31,9.31,316225,0,1
10/5/2021,8.5,8.55,8.11,8.55,8.55,120425,0,1
10/4/2021,8.48,8.4948,8.01,8.36,8.36,102160,0,1
10/1/2021,8.2,8.49,7.96,8.49,8.49,149305,0,1
9/30/2021,7.95,8.16,7.93,8.02,8.02,70019,0,1
9/29/2021,8.07,8.265,7.94,8.01,8.01,101445,0,1
9/28/2021,8.11,8.145,7.78,8.06,8.06,106024,0,1
9/27/2021,8.17,8.599,8.16,8.3,8.3,156622,0,1
9/24/2021,8.18,8.37,8.0201,8.18,8.18,141423,0,1
9/23/2021,8.25,8.63,8.03,8.4,8.4,151888,0,1
9/22/2021,8.645,8.645,7.86,8.22,8.22,107097,0,1
9/21/2021,8.19,8.35,7.859,7.94,7.94,113039,0,1
9/20/2021,8.38,8.49,7.92,8.08,8.08,251289,0,1
9/17/2021,8.65,8.85,8.28,8.83,8.83,164985,0,1
9/16/2021,8.8,8.95,8.47,8.71,8.71,150550,0,1
9/15/2021,8.64,9.0399,8.27,8.87,8.87,127047,0,1
9/14/2021,9.04,9.32,8.45,8.64,8.64,163891,0,1
9/13/2021,8.95,9.36,8.539,9,9,182165,0,1
9/10/2021,9.25,9.25,8.51,8.71,8.71,183221,0,1
9/9/2021,9.22,9.38,8.91,9.15,9.15,146081,0,1
9/8/2021,9.91,9.91,8.88,9.2,9.2,295192,0,1
9/7/2021,10.44,10.44,9.46,9.88,9.88,268425,0,1
9/3/2021,10.9381,10.9381,9.7,10.29,10.29,363354,0,1
9/2/2021,11.2,11.4349,10.33,10.63,10.63,289932,0,1
9/1/2021,10.07,11.7085,10.0635,10.96,10.96,431239,0,1
8/31/2021,10.53,10.53,9.4,9.97,9.97,254845,0,1
8/30/2021,10.15,10.55,9.3112,10.55,10.55,451882,0,1
8/27/2021,8.85,10.05,8.82,9.95,9.95,724795,0,1
8/26/2021,8.8,8.98,7.88,8.41,8.41,210663,0,1
8/25/2021,8,8.98,8,8.7,8.7,404239,0,1
8/24/2021,7.62,8,7.54,7.84,7.84,93335,0,1
8/23/2021,7.24,7.63,7.22,7.61,7.61,44762,0,1
8/20/2021,6.83,7.2,6.83,7.17,7.17,50677,0,1
8/19/2021,7.1,7.2225,6.7,6.9,6.9,122846,0,1
8/18/2021,7.08,7.3242,6.92,7.18,7.18,103153,0,1
8/17/2021,7.45,7.52,7.02,7.1,7.1,158356,0,1
8/16/2021,7.55,7.67,7.01,7.54,7.54,141993,0,1
8/13/2021,7.76,7.88,7.15,7.49,7.49,216884,0,1
8/12/2021,8.47,8.47,7.6,7.75,7.75,232178,0,1
8/11/2021,7.78,8.63,7.58,7.9,7.9,480250,0,1
8/10/2021,7.3,7.6,7.1381,7.43,7.43,78965,0,1
8/9/2021,7.64,7.95,7,7.29,7.29,274415,0,1
8/6/2021,7.41,7.7099,7.25,7.6,7.6,61314,0,1
8/5/2021,7.57,7.6499,7.0988,7.47,7.47,53840,0,1
8/4/2021,7.68,8,7.28,7.58,7.58,41323,0,1
8/3/2021,7.65,7.65,7.42,7.58,7.58,19923,0,1
8/2/2021,7.59,7.87,7.5,7.65,7.65,33896,0,1
7/30/2021,7.3588,7.6999,7.3588,7.59,7.59,16584,0,1
7/29/2021,7.5,7.77,7.36,7.44,7.44,17412,0,1
7/28/2021,7.5,7.77,7.28,7.59,7.59,65536,0,1
7/27/2021,8,8,7.31,7.51,7.51,68882,0,1
7/26/2021,7.49,8.5,7.0701,8,8,524868,0,1
7/23/2021,7.42,7.46,6.9701,7.28,7.28,26468,0,1
7/22/2021,7.15,7.43,6.93,7.43,7.43,40410,0,1
7/21/2021,7.15,7.2,7.05,7.08,7.08,65848,0,1
