timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,209.395,210.17,204.67,205.17,205.17,21839363,0,1
9/28/2021,212.135,214.19,206.51,206.99,206.99,34306895,0,1
9/27/2021,217.1035,217.99,213.25,216.6,216.6,24521514,0,1
9/24/2021,220.7,221.49,218.61,220.81,220.81,21765545,0,1
9/23/2021,221.4,225.345,218.9,224.82,224.82,24855491,0,1
9/22/2021,213.655,219.6,211.96,219.41,219.41,26872556,0,1
9/21/2021,214.165,214.25,209.5,212.46,212.46,20468810,0,1
9/20/2021,211.46,214.33,206.62,211.13,211.13,34944045,0,1
9/17/2021,223,223.21,218.3,219,219,29450284,0,1
9/16/2021,221.8345,222.77,219.27,222.42,222.42,15603344,0,1
9/15/2021,223.09,223.6699,219.66,223.41,223.41,16653801,0,1
9/14/2021,222.75,224.1,220.86,222.42,222.42,19975460,0,1
9/13/2021,226.84,229.64,218.58,221.52,221.52,29749990,0,1
9/10/2021,223.4831,226.26,222.7,224.78,224.78,24837574,0,1
9/9/2021,223.12,225.38,221.31,221.77,221.77,19685601,0,1
9/8/2021,225.13,226.1,219.77,223.39,223.39,25443421,0,1
9/7/2021,228.33,228.99,225.224,226.62,226.62,19810716,0,1
9/3/2021,223.25,229.86,222,228.43,228.43,28083198,0,1
9/2/2021,225.18,225.9299,222.945,223.96,223.96,18810957,0,1
9/1/2021,224.85,226.97,223.565,224.41,224.41,20176695,0,1
8/31/2021,226.95,226.95,221.2,223.85,223.85,25984968,0.04,1
8/30/2021,228.2997,230.43,225.51,226.88,226.8394658,26257990,0,1
8/27/2021,221.84,227.22,221.67,226.36,226.3195587,30472219,0,1
8/26/2021,222,223.4,217.9,220.68,220.6405735,23794042,0,1
8/25/2021,217.37,224.7,217.22,222.13,222.0903144,34770104,0,1
8/24/2021,217.53,219.59,215.35,217.93,217.8910648,29729892,0,1
8/23/2021,209.71,219.97,209.5,219.58,219.54077,57580658,0,1
8/20/2021,199.91,208.6506,199.33,208.16,208.1228103,67574131,0,1
8/19/2021,194.94,204.95,187.62,197.98,197.9446291,76655477,0,1
8/18/2021,195,196.3365,190,190.4,190.3659833,28591348,0,1
8/17/2021,196.85,197.7,192.67,194.58,194.5452365,20458485,0,1
8/16/2021,201.35,202.87,194.53,199.5,199.4643575,21115280,0,1
8/13/2021,199.05,202.1381,198.51,201.88,201.8439323,18059898,0,1
