timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,9.86,10.13,8.78,8.9,8.9,1345905,0,1
9/28/2021,9.94,10.2699,9.62,9.81,9.81,965606,0,1
9/27/2021,10.11,10.8299,9.75,10.1,10.1,1398084,0,1
9/24/2021,10.41,10.73,9.89,10.41,10.41,1376109,0,1
9/23/2021,11.21,11.48,10,10.27,10.27,2205449,0,1
9/22/2021,12.24,12.7499,10.92,10.93,10.93,2038455,0,1
9/21/2021,12.92,13.4,11.81,12.47,12.47,2624515,0,1
9/20/2021,12.62,14.32,12.02,12.71,12.71,6040052,0,1
9/17/2021,16.23,17.94,12.63,13.63,13.63,22323015,0,1
9/16/2021,17,20.97,13.74,19.97,19.97,107162932,0,1
9/15/2021,10.99,13.19,10.2,12.58,12.58,6677523,0,1
9/14/2021,10,12.28,9.5,11.06,11.06,6291938,0,1
9/13/2021,9.6,10.37,8.6,9.84,9.84,1802005,0,1
9/10/2021,10.37,11.79,9.41,9.63,9.63,2802746,0,1
9/9/2021,11.3,16,10.15,10.2,10.2,11128211,0,1
9/8/2021,10.4,11.94,9.69,11.55,11.55,2041893,0,1
9/7/2021,10.085,11.78,9.72,10.9,10.9,6340642,0,1
9/3/2021,8.65,8.7,8.2,8.63,8.63,407131,0,1
9/2/2021,9.44,9.48,8.76,9.02,9.02,793252,0,1
9/1/2021,9.05,9.05,8.52,8.8,8.8,248152,0,1
8/31/2021,9.24,9.24,8.5506,8.99,8.99,333233,0,1
8/30/2021,9.94,9.955,9.1,9.14,9.14,739485,0,1
8/27/2021,9.95,10.1,9.78,9.87,9.87,1469502,0,1
8/26/2021,9.85,9.98,9.71,9.95,9.95,803909,0,1
8/25/2021,9.96,9.98,9.96,9.97,9.97,218645,0,1
8/24/2021,9.98,9.98,9.96,9.97,9.97,178069,0,1
8/23/2021,9.94,9.97,9.94,9.97,9.97,358293,0,1
8/20/2021,9.95,9.9581,9.94,9.95,9.95,646770,0,1
8/19/2021,9.96,9.97,9.95,9.96,9.96,92463,0,1
8/18/2021,9.96,9.965,9.95,9.96,9.96,366508,0,1
8/17/2021,9.97,9.98,9.95,9.96,9.96,1205833,0,1
8/16/2021,9.96,9.97,9.95,9.96,9.96,2055152,0,1
8/13/2021,9.97,9.97,9.96,9.96,9.96,644367,0,1
8/12/2021,9.96,9.98,9.96,9.97,9.97,61989,0,1
8/11/2021,9.95,9.97,9.95,9.96,9.96,61685,0,1
8/10/2021,9.93,9.96,9.93,9.95,9.95,507563,0,1
8/9/2021,9.89,9.91,9.89,9.91,9.91,14440,0,1
8/6/2021,9.87,9.91,9.87,9.91,9.91,174383,0,1
8/5/2021,9.9,9.91,9.85,9.91,9.91,249466,0,1
8/4/2021,9.88,9.9,9.88,9.9,9.9,63050,0,1
8/3/2021,9.885,9.9,9.87,9.9,9.9,67258,0,1
8/2/2021,9.87,9.91,9.87,9.89,9.89,112632,0,1
7/30/2021,9.92,9.92,9.86,9.87,9.87,760275,0,1
7/29/2021,9.92,9.93,9.91,9.93,9.93,342616,0,1
7/28/2021,9.93,9.93,9.91,9.93,9.93,31665,0,1
7/27/2021,9.92,9.93,9.91,9.93,9.93,31472,0,1
7/26/2021,9.91,9.94,9.91,9.93,9.93,478932,0,1
7/23/2021,9.95,9.95,9.91,9.93,9.93,24428,0,1
7/22/2021,9.91,9.93,9.9,9.92,9.92,1135912,0,1
7/21/2021,9.92,9.94,9.92,9.93,9.93,456977,0,1
7/20/2021,9.95,9.95,9.93,9.94,9.94,33073,0,1
7/19/2021,9.91,9.95,9.91,9.94,9.94,133991,0,1
7/16/2021,9.92,9.95,9.92,9.94,9.94,73577,0,1
7/15/2021,9.92,9.94,9.92,9.93,9.93,328018,0,1
7/14/2021,9.92,9.96,9.92,9.93,9.93,466493,0,1
7/13/2021,9.92,9.95,9.92,9.93,9.93,148897,0,1
7/12/2021,9.92,9.94,9.91,9.93,9.93,74001,0,1
7/9/2021,9.94,9.94,9.93,9.93,9.93,18286,0,1
