timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,10.62,11.05,10.22,10.25,10.25,1801520,0,1
9/28/2021,10.65,10.7836,10.33,10.62,10.62,2881586,0,1
9/27/2021,10.1,10.99,10.02,10.87,10.87,1902088,0,1
9/24/2021,10.16,10.26,9.87,10.12,10.12,1743951,0,1
9/23/2021,10.32,10.55,10.25,10.41,10.41,1269915,0,1
9/22/2021,10,10.3,10,10.19,10.19,1126081,0,1
9/21/2021,10.02,10.05,9.62,10,10,1724569,0,1
9/20/2021,9.94,10.055,9.71,10,10,1977851,0,1
9/17/2021,10.25,10.55,10.21,10.32,10.32,12116252,0,1
9/16/2021,10,10.32,10,10.25,10.25,1263670,0,1
9/15/2021,9.86,10.13,9.75,10.09,10.09,1279322,0,1
9/14/2021,10.19,10.43,9.72,9.83,9.83,1958251,0,1
9/13/2021,10.13,10.61,9.86,10.27,10.27,1615731,0,1
9/10/2021,10.58,10.67,10.06,10.1,10.1,1975378,0,1
9/9/2021,10.05,10.67,9.98,10.51,10.51,1786833,0,1
9/8/2021,10.46,10.59,9.93,10.05,10.05,3154648,0,1
9/7/2021,11.82,11.87,10.31,10.32,10.32,4830024,0,1
9/3/2021,11.2853,11.82,11.2622,11.79,11.79,1905831,0,1
9/2/2021,10.65,11.48,10.6,11.33,11.33,1844732,0,1
9/1/2021,10.47,10.7,10.3266,10.56,10.56,1241154,0,1
8/31/2021,10.2,10.54,10.09,10.47,10.47,1104268,0,1
8/30/2021,10.45,10.6,9.92,10.3,10.3,1606935,0,1
8/27/2021,10.13,10.39,9.98,10.31,10.31,1552046,0,1
8/26/2021,9.9726,10.495,9.93,9.98,9.98,1941332,0,1
8/25/2021,10.2,10.3,9.9,10.06,10.06,1069797,0,1
8/24/2021,10.02,10.36,9.94,10.23,10.23,1720941,0,1
8/23/2021,9.26,10.29,9.21,9.88,9.88,2325524,0,1
8/20/2021,8.9,9.53,8.9,9.07,9.07,3516881,0,1
8/19/2021,9.025,9.1,8.77,8.9,8.9,2497380,0,1
8/18/2021,9.445,9.5,9.02,9.25,9.25,2614077,0,1
8/17/2021,9.71,9.8167,9.26,9.38,9.38,3726740,0,1
8/16/2021,10.48,10.48,9.785,9.86,9.86,3146351,0,1
8/13/2021,10.9,10.91,10.52,10.55,10.55,1975026,0,1
8/12/2021,11.38,11.57,10.9,11.08,11.08,3453274,0,1
8/11/2021,12.5,12.5237,11.43,12.02,12.02,2987765,0,1
8/10/2021,12.293,12.58,11.87,12.22,12.22,3480140,0,1
8/9/2021,11.16,11.98,11.15,11.79,11.79,2566511,0,1
8/6/2021,10.72,11.205,10.41,10.96,10.96,2473888,0,1
8/5/2021,10.67,10.76,10.45,10.7,10.7,1455774,0,1
8/4/2021,10.35,10.7,10.25,10.51,10.51,1913840,0,1
8/3/2021,10.97,10.97,10.32,10.37,10.37,1642719,0,1
8/2/2021,11.21,11.27,10.85,10.89,10.89,1069689,0,1
7/30/2021,10.85,11.1,10.8063,11.03,11.03,717062,0,1
7/29/2021,11.14,11.53,10.83,10.87,10.87,1845565,0,1
7/28/2021,10.65,11.06,10.45,10.86,10.86,2382678,0,1
7/27/2021,11.25,11.25,10.43,10.64,10.64,2585904,0,1
7/26/2021,11,11.78,10.78,11.17,11.17,2231670,0,1
7/23/2021,11.43,11.45,10.9,10.92,10.92,2364092,0,1
7/22/2021,11.89,11.96,11.38,11.43,11.43,1673033,0,1
7/21/2021,11.47,12.21,11.32,11.7,11.7,2577654,0,1
7/20/2021,11.42,11.85,11.35,11.35,11.35,2190409,0,1
7/19/2021,11.5,11.64,11.07,11.41,11.41,2622625,0,1
7/16/2021,12.05,12.44,11.86,11.9,11.9,2211017,0,1
7/15/2021,12.64,12.64,11.86,11.99,11.99,3676800,0,1
7/14/2021,13.2,13.4,12.4,12.59,12.59,4524362,0,1
7/13/2021,13.59,13.94,13.08,13.17,13.17,6210735,0,1
7/12/2021,16.52,16.65,13.91,14.06,14.06,10207055,0,1
7/9/2021,16.4639,17.22,16.39,17.05,17.05,862851,0,1
7/8/2021,15.61,16.45,15.6,16.4,16.4,629173,0,1
7/7/2021,16.79,16.8486,16.1301,16.4,16.4,591429,0,1
7/6/2021,17.25,17.25,16.75,16.8,16.8,549737,0,1
7/2/2021,16.85,17.6,16.69,17.45,17.45,696291,0,1
7/1/2021,17.28,17.38,16.82,16.93,16.93,463793,0,1
6/30/2021,17.3,17.52,17,17.11,17.11,668423,0,1
6/29/2021,17.8059,17.9,17.0773,17.18,17.18,864643,0,1
6/28/2021,17.13,18.1,17.13,17.94,17.94,1035361,0,1
6/25/2021,18.2,18.25,16.71,16.71,16.71,1275746,0,1
6/24/2021,17.6,18.4,17.42,17.85,17.85,1345734,0,1
6/23/2021,17.39,17.65,16.95,17.63,17.63,908514,0,1
6/22/2021,16.55,17.85,15.87,17.2,17.2,1890287,0,1
6/21/2021,16.72,16.82,16,16.19,16.19,1072992,0,1
6/18/2021,17.04,17.165,16.45,16.85,16.85,1062930,0,1
6/17/2021,17.25,17.34,16.68,17.09,17.09,860133,0,1
6/16/2021,17.48,17.59,16.26,17.05,17.05,1204361,0,1
6/15/2021,17.5,18.5221,16.94,16.94,16.94,931607,0,1
6/14/2021,19.13,20.12,17.9,18.09,18.09,2036300,0,1
