timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
10/18/2021,2.48,2.7188,2.47,2.63,2.63,2740296,0,1
10/15/2021,2.49,2.59,2.45,2.47,2.47,1156539,0,1
10/14/2021,2.51,2.54,2.45,2.49,2.49,636658,0,1
10/13/2021,2.48,2.5,2.375,2.48,2.48,568533,0,1
10/12/2021,2.4,2.47,2.34,2.43,2.43,789440,0,1
10/11/2021,2.5,2.53,2.4,2.4,2.4,565232,0,1
10/8/2021,2.49,2.56,2.42,2.42,2.42,756868,0,1
10/7/2021,2.44,2.55,2.4,2.44,2.44,1093048,0,1
10/6/2021,2.61,2.66,2.42,2.45,2.45,1963865,0,1
10/5/2021,2.9,2.94,2.66,2.7,2.7,1778799,0,1
10/4/2021,2.88,3.06,2.8008,2.84,2.84,2248770,0,1
10/1/2021,2.86,2.9899,2.77,2.9,2.9,2200787,0,1
9/30/2021,3.03,3.03,2.8,2.83,2.83,2089923,0,1
9/29/2021,2.93,3.24,2.821,3.05,3.05,5324138,0,1
9/28/2021,3.08,3.21,2.86,2.89,2.89,3384058,0,1
9/27/2021,2.74,2.95,2.72,2.95,2.95,1818333,0,1
9/24/2021,2.78,2.84,2.71,2.71,2.71,598561,0,1
9/23/2021,2.72,2.84,2.6901,2.79,2.79,1098496,0,1
9/22/2021,2.68,2.775,2.64,2.68,2.68,953938,0,1
9/21/2021,2.78,2.8199,2.61,2.68,2.68,949072,0,1
9/20/2021,2.79,2.85,2.6501,2.76,2.76,1612871,0,1
9/17/2021,3.03,3.0505,2.94,2.94,2.94,751752,0,1
9/16/2021,3.09,3.0927,2.98,3.04,3.04,650016,0,1
9/15/2021,2.98,3.1208,2.9701,3.07,3.07,1022284,0,1
9/14/2021,3.2,3.23,2.96,2.97,2.97,1789710,0,1
9/13/2021,3.2,3.2599,3.1213,3.21,3.21,1126908,0,1
9/10/2021,3.26,3.28,3.15,3.2,3.2,1310114,0,1
9/9/2021,3.1,3.3,3.04,3.26,3.26,1675707,0,1
9/8/2021,3.16,3.19,3.02,3.1,3.1,2115095,0,1
9/7/2021,3.43,3.5,3.16,3.21,3.21,5997677,0,1
9/3/2021,3.25,3.28,3.16,3.21,3.21,981258,0,1
9/2/2021,3.31,3.37,3.195,3.24,3.24,1482559,0,1
9/1/2021,3.18,3.33,3.07,3.28,3.28,1907296,0,1
8/31/2021,3.3,3.3466,3.0801,3.14,3.14,1943542,0,1
8/30/2021,3.18,3.43,2.97,3.34,3.34,4500091,0,1
8/27/2021,2.96,3.23,2.96,3.07,3.07,3199230,0,1
8/26/2021,3.04,3.0994,2.92,2.94,2.94,910561,0,1
8/25/2021,3.1,3.13,3.0101,3.05,3.05,916098,0,1
8/24/2021,3,3.13,2.9529,3.04,3.04,810954,0,1
8/23/2021,2.88,3.01,2.86,2.95,2.95,1406011,0,1
8/20/2021,2.71,2.87,2.71,2.83,2.83,629180,0,1
8/19/2021,2.81,2.86,2.69,2.75,2.75,999806,0,1
8/18/2021,2.92,2.93,2.82,2.84,2.84,798435,0,1
8/17/2021,2.85,2.98,2.85,2.93,2.93,509181,0,1
