timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,26.75,27.03,26.05,26.09,26.09,1723245,0,1
9/28/2021,27.28,27.55,25.49,26.48,26.48,3349498,0,1
9/27/2021,27.74,28.21,27.35,27.8,27.8,1303452,0,1
9/24/2021,28.39,28.4737,27.43,27.58,27.58,1412989,0,1
9/23/2021,27.33,28.625,27.16,28.26,28.26,4112072,0,1
9/22/2021,26.58,27.39,26.13,27.12,27.12,3717327,0,1
9/21/2021,25.36,27.09,25.35,26.5,26.5,2871824,0,1
9/20/2021,24.9,25.86,24.46,25.16,25.16,3370562,0,1
9/17/2021,26.06,26.94,25.53,25.87,25.87,8533680,0,1
9/16/2021,25,26.1,24.6,26,26,2439423,0,1
9/15/2021,25.2623,25.71,24.77,24.88,24.88,1762586,0,1
9/14/2021,26.21,26.36,24.68,25.62,25.62,2174666,0,1
9/13/2021,26.16,26.25,24.85,25.95,25.95,4876213,0,1
9/10/2021,24.13,26.56,24.13,26.16,26.16,12419180,0,1
9/9/2021,25.625,26.47,23.77,23.97,23.97,12445752,0,1
9/8/2021,26.94,27.98,26.39,27.5,27.5,2206000,0,1
9/7/2021,28.2,28.3699,27.04,27.07,27.07,1555931,0,1
9/3/2021,27.18,28.14,26.78,27.79,27.79,1993120,0,1
9/2/2021,27.5,27.8,26.535,26.83,26.83,1903820,0,1
9/1/2021,25.9701,27.57,25.81,27.43,27.43,2886053,0,1
8/31/2021,24.83,25.9,24.75,25.71,25.71,2203764,0,1
8/30/2021,24.62,25.2,24.1,24.84,24.84,1679273,0,1
8/27/2021,24.3175,24.81,23.09,24.58,24.58,2299961,0,1
8/26/2021,23.52,25.1974,23.03,23.97,23.97,3996142,0,1
8/25/2021,22.91,23.94,22.66,23.01,23.01,2351995,0,1
8/24/2021,22,22.74,21.64,22.72,22.72,1730603,0,1
8/23/2021,22.32,22.54,21.61,21.93,21.93,1444624,0,1
8/20/2021,21.25,21.9,21.02,21.57,21.57,1132583,0,1
8/19/2021,21.75,22.3114,21.32,21.44,21.44,1257182,0,1
8/18/2021,21.57,22.85,21.27,22.15,22.15,2212850,0,1
8/17/2021,22.26,22.68,21.46,21.51,21.51,1563426,0,1
8/16/2021,22.87,22.89,21.33,22.32,22.32,2746699,0,1
8/13/2021,20.57,23.4,20.46,22.8,22.8,8570085,0,1
8/12/2021,20.34,20.7,19.92,20.63,20.63,3739143,0,1
8/11/2021,20.37,20.6199,19.48,20.35,20.35,6682014,0,1
8/10/2021,18.35,18.77,17.79,18.75,18.75,2842743,0,1
8/9/2021,18.38,18.78,18.27,18.4,18.4,1775449,0,1
