timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,23.54,23.73,22.53,22.56,22.56,8630657,0,1
9/28/2021,24.91,24.94,22.87,23.39,23.39,16464695,0,1
9/27/2021,25.11,25.59,24.431,25,25,7678811,0,1
9/24/2021,25.85,25.8925,24.81,25.04,25.04,7887146,0,1
9/23/2021,25.75,25.97,25.32,25.85,25.85,6594082,0,1
9/22/2021,25.29,25.835,25.1,25.53,25.53,6047960,0,1
9/21/2021,25,25.57,24.7001,25.19,25.19,8181531,0,1
9/20/2021,25.43,26.03,24.275,24.75,24.75,13197136,0,1
9/17/2021,24.58,26.44,24.58,26.42,26.42,23017053,0,1
9/16/2021,24.28,24.8,24,24.49,24.49,11827495,0,1
9/15/2021,24.22,24.22,23.063,23.91,23.91,12381085,0,1
9/14/2021,23.99,25.145,23.82,24,24,10886030,0,1
9/13/2021,24.45,24.87,23.58,24.26,24.26,12597364,0,1
9/10/2021,25.71,26.83,24.93,25.16,25.16,9949836,0,1
9/9/2021,25.38,25.78,24.65,25.68,25.68,10330353,0,1
9/8/2021,24.65,26.005,24.55,25.45,25.45,16479549,0,1
9/7/2021,24.21,24.9499,23.82,24.61,24.61,13754862,0,1
9/3/2021,25.29,25.5399,23.8201,24.28,24.28,31183927,0,1
9/2/2021,26.08,28.77,24.85,25.99,25.99,39793589,0,1
9/1/2021,27.06,27.33,26.65,26.79,26.79,11593087,0,1
8/31/2021,25.95,27.86,25.75,27.11,27.11,28429534,0,1
8/30/2021,25.97,26.19,24.62,24.88,24.88,12912059,0,1
8/27/2021,25.54,26.38,25.2152,26.05,26.05,8578308,0,1
8/26/2021,26.1,26.708,25.2,25.45,25.45,10124353,0,1
8/25/2021,26.7,27.04,25.7519,26.26,26.26,10425229,0,1
8/24/2021,25.58,26.65,25.43,26.48,26.48,12710058,0,1
8/23/2021,24.6,25.82,24.53,25.44,25.44,10897706,0,1
8/20/2021,24.12,24.77,23.99,24.53,24.53,9059335,0,1
