timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,14.02,14.47,12.03,12.13,12.13,949095,0,1
9/28/2021,13.77,14.86,13.6,14.26,14.26,957079,0,1
9/27/2021,14,14.74,13.75,14.04,14.04,465179,0,1
9/24/2021,14.55,15.28,13.67,13.85,13.85,1378577,0,1
9/23/2021,17.78,18.86,13.67,14.68,14.68,3746052,0,1
9/22/2021,15.4,19.5,14.6,18.45,18.45,6341633,0,1
9/21/2021,14.37,18.36,13.53,15.27,15.27,12073666,0,1
9/20/2021,12.47,13.68,11.69,12.95,12.95,1052324,0,1
9/17/2021,11.27,14.8,10.2,13.71,13.71,6897270,0,1
9/16/2021,12.13,13.2,10.86,11.41,11.41,4067739,0,1
9/15/2021,9.51,9.95,9.22,9.76,9.76,330441,0,1
9/14/2021,9.61,9.8,9,9.18,9.18,147965,0,1
9/13/2021,9.99,10.08,9.16,9.28,9.28,285325,0,1
9/10/2021,11.12,11.24,9.92,9.92,9.92,234409,0,1
9/9/2021,10.96,12.3,10.96,11.03,11.03,452459,0,1
9/8/2021,10.49,11.65,10.36,11.22,11.22,358090,0,1
9/7/2021,11.58,12.64,10.47,10.65,10.65,853973,0,1
9/3/2021,9.2,12.85,9.11,11.85,11.85,1355645,0,1
9/2/2021,9.99,9.99,9.12,9.18,9.18,147335,0,1
9/1/2021,9.6,9.99,9.5564,9.91,9.91,53002,0,1
8/31/2021,9.37,9.68,9.34,9.63,9.63,65595,0,1
8/30/2021,9.72,9.73,9.1601,9.37,9.37,73772,0,1
8/27/2021,9.64,9.79,9.25,9.5,9.5,175664,0,1
8/26/2021,9,9.9999,8.9,9.72,9.72,254627,0,1
8/25/2021,8.87,8.93,8.73,8.9,8.9,49788,0,1
8/24/2021,8.27,8.88,8.27,8.77,8.77,123904,0,1
8/23/2021,9.84,9.84,8.3,8.35,8.35,224736,0,1
8/20/2021,8.99,9.3,8.682,9.05,9.05,122384,0,1
8/19/2021,9.99,9.99,8.77,8.85,8.85,148762,0,1
8/18/2021,9.51,10.09,9.45,9.9,9.9,185644,0,1
8/17/2021,10.25,10.52,9.3,9.41,9.41,256327,0,1
8/16/2021,9.45,10.15,9.45,9.93,9.93,523714,0,1
8/13/2021,9.66,9.69,9.2001,9.23,9.23,119783,0,1
8/12/2021,9.62,9.78,9.61,9.64,9.64,78920,0,1
8/11/2021,9.77,9.8,9.55,9.6,9.6,200675,0,1
8/10/2021,9.85,9.89,9.61,9.79,9.79,258692,0,1
8/9/2021,9.98,9.99,9.97,9.98,9.98,201419,0,1
8/6/2021,9.97,9.99,9.97,9.98,9.98,195621,0,1
8/5/2021,9.96,10,9.96,9.97,9.97,4727145,0,1
8/4/2021,9.96,9.97,9.96,9.96,9.96,141925,0,1
8/3/2021,9.95,9.97,9.95,9.96,9.96,193748,0,1
8/2/2021,9.95,9.97,9.95,9.96,9.96,297453,0,1
7/30/2021,9.95,9.97,9.95,9.96,9.96,417367,0,1
7/29/2021,9.95,9.96,9.95,9.95,9.95,479326,0,1
7/28/2021,9.97,9.97,9.95,9.95,9.95,237372,0,1
7/27/2021,9.96,9.97,9.95,9.95,9.95,668075,0,1
7/26/2021,9.96,9.97,9.95,9.96,9.96,256504,0,1
7/23/2021,9.94,9.97,9.92,9.96,9.96,186735,0,1
7/22/2021,9.93,9.95,9.93,9.94,9.94,102550,0,1
7/21/2021,9.95,9.96,9.94,9.95,9.95,99152,0,1
7/20/2021,9.93,9.96,9.93,9.95,9.95,31681,0,1
7/19/2021,9.95,9.97,9.91,9.96,9.96,168069,0,1
7/16/2021,9.95,10,9.94,10,10,105968,0,1
7/15/2021,9.97,9.97,9.95,9.96,9.96,70446,0,1
7/14/2021,10,10,9.94,9.96,9.96,50784,0,1
7/13/2021,9.96,10,9.95,9.97,9.97,67238,0,1
7/12/2021,9.93,10,9.93,9.97,9.97,31129,0,1
7/9/2021,9.94,9.97,9.94,9.97,9.97,37043,0,1
7/8/2021,9.94,9.98,9.94,9.96,9.96,58113,0,1
7/7/2021,10,10.05,9.95,9.97,9.97,362035,0,1
7/6/2021,10.02,10.04,9.96,9.97,9.97,172070,0,1
7/2/2021,10,10.04,10,10.02,10.02,143217,0,1
7/1/2021,10.02,10.03,9.95,9.98,9.98,126259,0,1
6/30/2021,10.01,10.01,9.95,9.98,9.98,91553,0,1
6/29/2021,9.95,10.01,9.95,9.99,9.99,28407,0,1
6/28/2021,10,10,9.9501,9.97,9.97,37538,0,1
6/25/2021,9.99,9.99,9.95,9.99,9.99,78139,0,1
6/24/2021,9.94,9.98,9.94,9.96,9.96,61525,0,1
6/23/2021,9.95,9.98,9.94,9.96,9.96,79293,0,1
6/22/2021,9.94,9.98,9.933,9.96,9.96,95230,0,1
6/21/2021,9.96,9.96,9.91,9.95,9.95,38448,0,1
6/18/2021,9.93,9.97,9.93,9.95,9.95,37889,0,1
6/17/2021,9.94,9.96,9.93,9.94,9.94,67803,0,1
6/16/2021,9.95,9.96,9.92,9.94,9.94,98729,0,1
6/15/2021,10,10.01,9.91,9.94,9.94,170600,0,1
6/14/2021,10.02,10.04,9.95,9.98,9.98,124672,0,1
6/11/2021,10.07,10.105,9.99,10,10,190805,0,1
6/10/2021,9.99,9.99,9.94,9.95,9.95,206783,0,1
6/9/2021,9.98,10.01,9.93,9.94,9.94,390189,0,1
6/8/2021,9.94,9.96,9.93,9.94,9.94,281470,0,1
6/7/2021,9.93,9.95,9.93,9.93,9.93,39805,0,1
6/4/2021,9.95,9.95,9.93,9.93,9.93,128684,0,1
6/3/2021,9.92,9.9486,9.92,9.94,9.94,62159,0,1
6/2/2021,9.94,9.96,9.91,9.94,9.94,197163,0,1
6/1/2021,9.89,9.95,9.89,9.95,9.95,95034,0,1
5/28/2021,9.89,9.91,9.88,9.9,9.9,227272,0,1
5/27/2021,9.89,9.91,9.88,9.89,9.89,170632,0,1
5/26/2021,9.92,9.92,9.85,9.87,9.87,194287,0,1
5/25/2021,9.89,9.91,9.86,9.9,9.9,379110,0,1
5/24/2021,9.92,9.9492,9.85,9.9,9.9,177884,0,1
5/21/2021,9.92,9.94,9.89,9.91,9.91,48349,0,1
5/20/2021,9.87,9.91,9.85,9.9,9.9,431505,0,1
5/19/2021,9.87,9.89,9.87,9.89,9.89,769369,0,1
5/18/2021,9.87,9.89,9.87,9.88,9.88,117663,0,1
5/17/2021,9.87,9.89,9.86,9.88,9.88,147003,0,1
5/14/2021,9.9,9.9,9.87,9.89,9.89,121596,0,1
5/13/2021,9.86,9.9,9.86,9.87,9.87,339415,0,1
5/12/2021,9.85,9.89,9.85,9.87,9.87,204960,0,1
5/11/2021,9.84,9.88,9.84,9.87,9.87,505108,0,1
5/10/2021,9.9,9.9199,9.88,9.89,9.89,254590,0,1
