timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
9/29/2021,5.24,5.24,4.29,4.33,4.33,11139332,0,1
9/28/2021,5.55,5.64,5.12,5.23,5.23,7406399,0,1
9/27/2021,5.17,5.63,5.1,5.58,5.58,10479701,0,1
9/24/2021,5.64,5.93,5.08,5.11,5.11,17101927,0,1
9/23/2021,6.37,6.4,5.34,5.46,5.46,26369516,0,1
9/22/2021,9.03,9.1,6.75,6.915,6.915,26397690,0,1
9/21/2021,9.01,9.81,8.65,9.21,9.21,13962528,0,1
9/20/2021,10.07,11.15,8.52,8.9,8.9,15211739,0,1
9/17/2021,11.3,12,9.73,10.38,10.38,18341917,0,1
9/16/2021,12.99,13.68,11.14,12.39,12.39,42511357,0,1
9/15/2021,10.96,10.96,8.76,10,10,7219376,0,1
9/14/2021,11.9603,14.66,10.61,10.89,10.89,14769438,0,1
9/13/2021,9.3987,15.39,9.21,12.45,12.45,12220134,0,1
9/10/2021,11.0535,11.0813,8.31,9.41,9.41,2313839,0,1
