timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
10/18/2021,5.92,6.08,5.912,6.04,6.04,192218,0,1
10/15/2021,5.92,6.08,5.9036,6.04,6.04,113326,0,1
10/14/2021,5.87,5.97,5.72,5.96,5.96,105264,0,1
10/13/2021,5.9,6.07,5.84,5.88,5.88,121238,0,1
10/12/2021,5.695,5.98,5.65,5.96,5.96,193479,0,1
10/11/2021,5.71,5.85,5.63,5.64,5.64,198710,0,1
10/8/2021,5.74,5.7691,5.65,5.69,5.69,109540,0,1
10/7/2021,5.8,5.83,5.71,5.8,5.8,137844,0,1
10/6/2021,5.62,5.99,5.55,5.71,5.71,289363,0,1
10/5/2021,5.68,5.9,5.6755,5.79,5.79,353511,0,1
10/4/2021,5.9,5.9,5.64,5.68,5.68,249598,0,1
10/1/2021,5.85,6.01,5.68,5.96,5.96,470502,0,1
9/30/2021,6.09,6.09,5.81,5.85,5.85,300794,0,1
9/29/2021,5.86,6.08,5.78,6.01,6.01,358550,0,1
9/28/2021,5.83,6.0499,5.6672,5.76,5.76,546618,0,1
9/27/2021,5.72,6.38,5.6201,5.99,5.99,1442031,0,1
9/24/2021,5.41,5.7,5.36,5.67,5.67,170355,0,1
9/23/2021,5.3,5.51,5.3,5.5,5.5,196951,0,1
9/22/2021,5.23,5.33,5.171,5.31,5.31,226738,0,1
9/21/2021,5.09,5.25,5.0416,5.23,5.23,157001,0,1
9/20/2021,5,5.15,4.98,5.13,5.13,221971,0,1
9/17/2021,5.19,5.25,5.1,5.19,5.19,143881,0,1
9/16/2021,5.19,5.2361,5.11,5.16,5.16,124831,0,1
9/15/2021,5.03,5.25,5.01,5.25,5.25,168410,0,1
9/14/2021,5.16,5.1899,4.95,5,5,327617,0,1
9/13/2021,5.15,5.2,5.02,5.12,5.12,196861,0,1
9/10/2021,5.18,5.23,5.06,5.06,5.06,124733,0,1
9/9/2021,5.17,5.23,5.09,5.14,5.14,257590,0,1
9/8/2021,5.4,5.45,5.12,5.18,5.18,147973,0,1
9/7/2021,5.3,5.49,5.28,5.4,5.4,148672,0,1
9/3/2021,5.21,5.35,5.19,5.29,5.29,111817,0,1
9/2/2021,5.3,5.3999,5.15,5.18,5.18,199765,0,1
9/1/2021,5.09,5.44,5.08,5.31,5.31,736502,0,1
8/31/2021,5.13,5.2,5.01,5.06,5.06,149155,0,1
8/30/2021,5.26,5.265,5.05,5.09,5.09,300860,0,1
8/27/2021,5.45,5.4873,5.2,5.22,5.22,286880,0,1
8/26/2021,5.2,5.46,5.12,5.42,5.42,380080,0,1
8/25/2021,5.5,5.5,5.2,5.21,5.21,206185,0,1
8/24/2021,5.16,5.5,5.16,5.47,5.47,192130,0,1
8/23/2021,5.1,5.275,5.05,5.15,5.15,192641,0,1
8/20/2021,5.05,5.168,4.97,5.01,5.01,270719,0,1
8/19/2021,5.2,5.25,5.0525,5.08,5.08,209094,0,1
8/18/2021,5.19,5.37,5.1,5.25,5.25,135012,0,1
8/17/2021,5.16,5.24,5.04,5.18,5.18,216986,0,1
8/16/2021,5.35,5.35,5.2,5.22,5.22,174474,0,1
8/13/2021,5.42,5.4581,5.325,5.4,5.4,102359,0,1
8/12/2021,5.6,5.62,5.37,5.49,5.49,183237,0,1
8/11/2021,5.45,5.4589,5.33,5.42,5.42,101388,0,1
8/10/2021,5.46,5.5823,5.35,5.49,5.49,158739,0,1
8/9/2021,5.41,5.506,5.34,5.5,5.5,184603,0,1
8/6/2021,5.33,5.46,5.2591,5.44,5.44,151300,0,1
8/5/2021,5.08,5.35,5.0777,5.27,5.27,76993,0,1
8/4/2021,5.15,5.25,5.0686,5.12,5.12,192166,0,1
8/3/2021,5.19,5.2,4.97,5.11,5.11,216719,0,1
8/2/2021,5.43,5.5,5.21,5.25,5.25,209637,0,1
7/30/2021,5.37,5.5,5.37,5.49,5.49,130070,0,1
7/29/2021,5.68,5.68,5.32,5.4,5.4,284169,0,1
7/28/2021,5.62,5.735,5.6,5.64,5.64,181020,0,1
7/27/2021,5.61,5.66,5.4389,5.64,5.64,92192,0,1
7/26/2021,5.6349,5.71,5.46,5.63,5.63,131030,0,1
7/23/2021,5.68,5.68,5.4503,5.57,5.57,143638,0,1
7/22/2021,5.65,5.75,5.45,5.75,5.75,361097,0,1
7/21/2021,5.33,5.55,5.2801,5.55,5.55,207826,0,1
7/20/2021,5.2,5.3684,5.18,5.22,5.22,241611,0,1
7/19/2021,5.26,5.278,4.92,5.18,5.18,429378,0,1
7/16/2021,5.68,5.68,5.37,5.41,5.41,186769,0,1
7/15/2021,5.63,5.75,5.5,5.61,5.61,173763,0,1
7/14/2021,5.65,5.89,5.58,5.63,5.63,221299,0,1
7/13/2021,5.75,5.832,5.61,5.64,5.64,133138,0,1
7/12/2021,6.02,6.065,5.7179,5.77,5.77,209583,0,1
7/9/2021,5.87,6.14,5.87,6.03,6.03,227798,0,1
7/8/2021,5.58,5.83,5.46,5.83,5.83,290346,0,1
7/7/2021,5.94,6.04,5.51,5.58,5.58,602573,0,1
7/6/2021,6.3,6.33,5.91,5.96,5.96,611762,0,1
7/2/2021,6.61,6.6828,6.31,6.39,6.39,206999,0,1
7/1/2021,6.82,6.85,6.46,6.55,6.55,402236,0,1
6/30/2021,6.1,7.0699,6.06,6.96,6.96,2061253,0,1
6/29/2021,6.11,6.19,6,6.11,6.11,444367,0,1
