#BOF|2021.08.22|19:30:04
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|-0.1988|5.5|400|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|-0.1808|0.2608|>10000000|
AAAU|USD|GOLDMAN SACHS PHYSICAL GOLD|458886642|XXXXXXXK1034|-1.8085|1.8885|300000|
AABB|USD|ASIA BROADBAND INC|75216559|XXXXXXXL1008|-17.0763|17.1563|>10000000|
AABVF|USD|ABERDEEN INTERNATIONAL INC.|60152167|CA0030691012|-0.2200|0.3000|20000|
AAC|USD|ARES ACQUISITION CORP-A|477011235|KYG330321061|-1.4788|1.5588|550000|
AAC U|USD|ARES ACQUISITION CORP|468799337|KYG330321145|-1.1400|1.2200|350000|
AACAY|USD|AAC TECHNOLOGIES H-UNSPON AD|54939868|XXXXXXX41052|-18.9537|19.0337|55000|
AACG|USD|ATA CREATIVITY GLOBAL - ADR|48811132|XXXXXXXV1061|-46.5573|46.6373|150000|
AACIU|USD|ARMADA ACQUISITION CORP I|508146551|XXXXXXXV2025|-10.9693|11.0493|2200000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|-10.7723|10.8523|30000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-13.7785|13.8585|20000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|-1.6179|1.6979|3900000|
AAGFF|USD|AFTERMATH SILVER LTD|267518971|CA00831V2057|-29.4932|29.5732|60000|
AAGH|USD|AMERICA GREAT HEALTH|280898497|XXXXXXXT1016|-1.4880|1.5680|100000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|-1.0480|1.1280|100000|
AAIC|USD|ARLINGTON ASSET INVESTMENT-A|69259320|XXXXXXX62051|-0.4654|0.5454|1500000|
AAIC PRB|USD|ARLINGTON ASSET INVT CORP PERP PFD|276016743|XXXXXXX66011|-33.9730|34.0530|15000|
AAIC PRC|USD|ARLINGTON ASSET INVEST|356101385|XXXXXXX67001|-184.8751|184.9551|95000|
AAIN|USD|ARLINGTON ASSET INVESTMENT CORP|503299518|XXXXXXX68090|-13.2916|13.3716|35000|
AAIRF|USD|AMERICAN AIRES INC|452068989|CA02377G1054|-0.9683|1.0483|500|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|-0.2244|0.3044|>10000000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-0.7024|0.7824|85000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|-4.8725|4.9525|200000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-1.4880|1.5680|20000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|-0.1700|0.2500|350000|
AAN|USD|AARON'S CO INC-THE|455975127|XXXXXXXW1080|-0.1758|0.2558|1900000|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|-0.7363|0.8163|2600000|
AAON|USD|AAON INC|265595|XXXXXXX02069|-0.1700|0.2500|2000000|
AAP|USD|ADVANCE AUTO PARTS INC|4027|XXXXXXXY1064|-0.1700|0.2500|2300000|
AAPJ|USD|AAP INC|95309032|XXXXXXXT1034|-2.8130|2.8930|2000|
AAPL|USD|APPLE INC|265598|XXXXXXX31005|-0.1700|0.2500|>10000000|
AAPT|USD|ALL AMERICAN PET CO INC|44001811|XXXXXXXF1066|-1.1632|1.2432|7000000|
AAQC|USD|ACCELERATE ACQUISITION COR-A|489110448|XXXXXXXD1028|-1.9651|2.0451|200000|
AAQC U|USD|ACCELERATE ACQUISITION CORP|476856758|XXXXXXXD2018|-1.7679|1.8479|100000|
AAT|USD|AMERICAN ASSETS TRUST INC|82819360|XXXXXXX31047|-0.1969|0.2769|1500000|
AATC|USD|AUTOSCOPE TECHNOLOGIES CORP|504062934|XXXXXXX61067|-5.2957|5.3757|70000|
AATRL|USD|AMG CAPITAL TRUST II|415141203|XXXXXXXF2092|-4.8979|4.9779|450000|
