,timestamp,sho_count
576503,2018-01-02,0
576502,2018-01-03,0
576501,2018-01-04,0
576500,2018-01-05,0
576499,2018-01-08,0
576498,2018-01-09,0
576497,2018-01-10,0
576496,2018-01-11,0
576495,2018-01-12,0
576494,2018-01-16,0
576493,2018-01-17,0
576492,2018-01-18,0
576491,2018-01-19,0
576490,2018-01-22,0
576489,2018-01-23,0
576488,2018-01-24,0
576487,2018-01-25,0
576486,2018-01-26,0
576485,2018-01-29,0
576484,2018-01-30,0
576483,2018-01-31,0
576482,2018-02-01,0
576481,2018-02-02,0
576480,2018-02-05,0
576479,2018-02-06,0
576478,2018-02-07,0
576477,2018-02-08,0
576476,2018-02-09,0
576475,2018-02-12,0
576474,2018-02-13,0
576473,2018-02-14,0
576472,2018-02-15,0
576471,2018-02-16,0
576470,2018-02-20,0
576469,2018-02-21,0
576468,2018-02-22,0
576467,2018-02-23,0
576466,2018-02-26,0
576465,2018-02-27,0
576464,2018-02-28,0
576463,2018-03-01,0
576462,2018-03-02,0
576461,2018-03-05,0
576460,2018-03-06,0
576459,2018-03-07,0
576458,2018-03-08,0
576457,2018-03-09,0
576456,2018-03-12,0
576455,2018-03-13,0
576454,2018-03-14,0
576453,2018-03-15,0
576452,2018-03-16,0
576451,2018-03-19,0
576450,2018-03-20,0
576449,2018-03-21,0
576448,2018-03-22,0
576447,2018-03-23,0
576446,2018-03-26,0
576445,2018-03-27,0
576444,2018-03-28,0
576443,2018-03-29,0
576442,2018-04-02,0
576441,2018-04-03,0
576440,2018-04-04,0
576439,2018-04-05,0
576438,2018-04-06,0
576437,2018-04-09,0
576436,2018-04-10,0
576435,2018-04-11,0
576434,2018-04-12,0
576433,2018-04-13,0
576432,2018-04-16,0
576431,2018-04-17,0
576430,2018-04-18,0
576429,2018-04-19,0
576428,2018-04-20,0
576427,2018-04-23,0
576426,2018-04-24,0
576425,2018-04-25,0
576424,2018-04-26,0
576423,2018-04-27,0
576422,2018-04-30,0
576421,2018-05-01,0
576420,2018-05-02,0
576419,2018-05-03,0
576418,2018-05-04,0
576417,2018-05-07,0
576416,2018-05-08,0
576415,2018-05-09,0
576414,2018-05-10,0
576413,2018-05-11,0
576412,2018-05-14,0
576411,2018-05-15,0
576410,2018-05-16,0
576409,2018-05-17,0
576408,2018-05-18,0
576407,2018-05-21,0
576406,2018-05-22,0
576405,2018-05-23,0
576404,2018-05-24,0
576403,2018-05-25,0
576402,2018-05-29,0
576401,2018-05-30,0
576400,2018-05-31,0
576399,2018-06-01,0
576398,2018-06-04,0
576397,2018-06-05,0
576396,2018-06-06,0
576395,2018-06-07,0
576394,2018-06-08,0
576393,2018-06-11,0
576392,2018-06-12,0
576391,2018-06-13,0
576390,2018-06-14,0
576389,2018-06-15,0
576388,2018-06-18,0
576387,2018-06-19,0
576386,2018-06-20,0
576385,2018-06-21,0
576384,2018-06-22,0
576383,2018-06-25,0
576382,2018-06-26,0
576381,2018-06-27,0
576380,2018-06-28,0
576379,2018-06-29,0
576378,2018-07-02,0
576377,2018-07-03,0
576376,2018-07-05,0
576375,2018-07-06,0
576374,2018-07-09,0
576373,2018-07-10,0
576372,2018-07-11,0
576371,2018-07-12,0
576370,2018-07-13,0
576369,2018-07-16,0
576368,2018-07-17,0
576367,2018-07-18,0
576366,2018-07-19,0
576365,2018-07-20,0
576364,2018-07-23,0
576363,2018-07-24,0
576362,2018-07-25,0
576361,2018-07-26,0
576360,2018-07-27,0
576359,2018-07-30,0
576358,2018-07-31,0
576357,2018-08-01,0
576356,2018-08-02,0
576355,2018-08-03,0
576354,2018-08-06,0
576353,2018-08-07,0
576352,2018-08-08,0
576351,2018-08-09,0
576350,2018-08-10,0
576349,2018-08-13,0
576348,2018-08-14,0
576347,2018-08-15,0
576346,2018-08-16,0
576345,2018-08-17,0
576344,2018-08-20,0
576343,2018-08-21,0
576342,2018-08-22,0
576341,2018-08-23,0
576340,2018-08-24,0
576339,2018-08-27,0
576338,2018-08-28,0
576337,2018-08-29,0
576336,2018-08-30,0
576335,2018-08-31,0
576334,2018-09-04,0
576333,2018-09-05,0
576332,2018-09-06,0
576331,2018-09-07,0
576330,2018-09-10,0
576329,2018-09-11,0
576328,2018-09-12,0
576327,2018-09-13,0
576326,2018-09-14,0
576325,2018-09-17,0
576324,2018-09-18,0
576323,2018-09-19,0
576322,2018-09-20,0
576321,2018-09-21,0
576320,2018-09-24,0
576319,2018-09-25,0
576318,2018-09-26,0
576317,2018-09-27,0
576316,2018-09-28,0
576315,2018-10-01,0
576314,2018-10-02,0
576313,2018-10-03,0
576312,2018-10-04,0
576311,2018-10-05,0
576310,2018-10-08,0
576309,2018-10-09,0
576308,2018-10-10,0
576307,2018-10-11,0
576306,2018-10-12,0
576305,2018-10-15,0
576304,2018-10-16,0
576303,2018-10-17,0
576302,2018-10-18,0
576301,2018-10-19,0
576300,2018-10-22,0
576299,2018-10-23,0
576298,2018-10-24,0
576297,2018-10-25,0
576296,2018-10-26,0
576295,2018-10-29,0
576294,2018-10-30,0
576293,2018-10-31,0
576292,2018-11-01,0
576291,2018-11-02,0
576290,2018-11-05,0
576289,2018-11-06,0
576288,2018-11-07,0
576287,2018-11-08,0
576286,2018-11-09,0
576285,2018-11-12,0
576284,2018-11-13,0
576283,2018-11-14,0
576282,2018-11-15,0
576281,2018-11-16,0
576280,2018-11-19,0
576279,2018-11-20,0
576278,2018-11-21,0
576277,2018-11-23,0
576276,2018-11-26,0
576275,2018-11-27,0
576274,2018-11-28,0
576273,2018-11-29,0
576272,2018-11-30,0
576271,2018-12-03,0
576270,2018-12-04,0
576269,2018-12-06,0
576268,2018-12-07,0
576267,2018-12-10,0
576266,2018-12-11,0
576265,2018-12-12,0
576264,2018-12-13,0
576263,2018-12-14,0
576262,2018-12-17,0
576261,2018-12-18,0
576260,2018-12-19,0
576259,2018-12-20,0
576258,2018-12-21,0
576257,2018-12-24,0
576256,2018-12-26,0
576255,2018-12-27,0
576254,2018-12-28,0
576253,2018-12-31,0
576252,2019-01-02,0
576251,2019-01-03,0
576250,2019-01-04,0
576249,2019-01-07,0
576248,2019-01-08,0
576247,2019-01-09,0
576246,2019-01-10,0
576245,2019-01-11,0
576244,2019-01-14,0
576243,2019-01-15,0
576242,2019-01-16,0
576241,2019-01-17,0
576240,2019-01-18,0
576239,2019-01-22,0
576238,2019-01-23,0
576237,2019-01-24,0
576236,2019-01-25,0
576235,2019-01-28,0
576234,2019-01-29,0
576233,2019-01-30,0
576232,2019-01-31,0
576231,2019-02-01,0
576230,2019-02-04,0
576229,2019-02-05,0
576228,2019-02-06,0
576227,2019-02-07,0
576226,2019-02-08,0
576225,2019-02-11,0
576224,2019-02-12,0
576223,2019-02-13,0
576222,2019-02-14,0
576221,2019-02-15,0
576220,2019-02-19,0
576219,2019-02-20,0
576218,2019-02-21,0
576217,2019-02-22,0
576216,2019-02-25,0
576215,2019-02-26,0
576214,2019-02-27,0
576213,2019-02-28,0
576212,2019-03-01,0
576211,2019-03-04,0
576210,2019-03-05,0
