,timestamp,sho_count
580099,2018-01-02,0
580098,2018-01-03,0
580097,2018-01-04,0
580096,2018-01-05,0
580095,2018-01-08,0
580094,2018-01-09,0
580093,2018-01-10,0
580092,2018-01-11,0
580091,2018-01-12,0
580090,2018-01-16,0
580089,2018-01-17,0
580088,2018-01-18,0
580087,2018-01-19,0
580086,2018-01-22,0
580085,2018-01-23,0
580084,2018-01-24,0
580083,2018-01-25,0
580082,2018-01-26,0
580081,2018-01-29,0
580080,2018-01-30,0
580079,2018-01-31,0
580078,2018-02-01,0
580077,2018-02-02,0
580076,2018-02-05,0
580075,2018-02-06,0
580074,2018-02-07,0
580073,2018-02-08,0
580072,2018-02-09,0
580071,2018-02-12,0
580070,2018-02-13,0
580069,2018-02-14,0
580068,2018-02-15,0
580067,2018-02-16,0
580066,2018-02-20,0
580065,2018-02-21,0
580064,2018-02-22,0
580063,2018-02-23,0
580062,2018-02-26,0
580061,2018-02-27,0
580060,2018-02-28,0
580059,2018-03-01,0
580058,2018-03-02,0
580057,2018-03-05,0
580056,2018-03-06,0
580055,2018-03-07,0
580054,2018-03-08,0
580053,2018-03-09,0
580052,2018-03-12,0
580051,2018-03-13,0
580050,2018-03-14,0
580049,2018-03-15,0
580048,2018-03-16,0
580047,2018-03-19,0
580046,2018-03-20,0
580045,2018-03-21,0
580044,2018-03-22,0
580043,2018-03-23,0
580042,2018-03-26,0
580041,2018-03-27,0
580040,2018-03-28,0
580039,2018-03-29,0
580038,2018-04-02,0
580037,2018-04-03,0
580036,2018-04-04,0
580035,2018-04-05,0
580034,2018-04-06,0
580033,2018-04-09,0
580032,2018-04-10,0
580031,2018-04-11,0
580030,2018-04-12,0
580029,2018-04-13,0
580028,2018-04-16,0
580027,2018-04-17,0
580026,2018-04-18,0
580025,2018-04-19,0
580024,2018-04-20,0
580023,2018-04-23,0
580022,2018-04-24,0
580021,2018-04-25,0
580020,2018-04-26,0
580019,2018-04-27,0
580018,2018-04-30,0
580017,2018-05-01,0
580016,2018-05-02,0
580015,2018-05-03,0
580014,2018-05-04,0
580013,2018-05-07,0
580012,2018-05-08,0
580011,2018-05-09,0
580010,2018-05-10,0
580009,2018-05-11,0
580008,2018-05-14,0
580007,2018-05-15,0
580006,2018-05-16,0
580005,2018-05-17,0
580004,2018-05-18,0
580003,2018-05-21,0
580002,2018-05-22,0
580001,2018-05-23,0
580000,2018-05-24,0
579999,2018-05-25,0
579998,2018-05-29,0
579997,2018-05-30,0
579996,2018-05-31,0
579995,2018-06-01,0
579994,2018-06-04,0
579993,2018-06-05,0
579992,2018-06-06,0
579991,2018-06-07,0
579990,2018-06-08,0
579989,2018-06-11,0
579988,2018-06-12,0
579987,2018-06-13,0
579986,2018-06-14,0
579985,2018-06-15,0
579984,2018-06-18,0
579983,2018-06-19,0
579982,2018-06-20,0
579981,2018-06-21,0
579980,2018-06-22,0
579979,2018-06-25,0
579978,2018-06-26,0
579977,2018-06-27,0
579976,2018-06-28,0
579975,2018-06-29,0
579974,2018-07-02,0
579973,2018-07-03,0
579972,2018-07-05,0
579971,2018-07-06,0
579970,2018-07-09,0
579969,2018-07-10,0
579968,2018-07-11,0
579967,2018-07-12,0
579966,2018-07-13,0
579965,2018-07-16,0
579964,2018-07-17,0
579963,2018-07-18,0
579962,2018-07-19,0
579961,2018-07-20,0
579960,2018-07-23,0
579959,2018-07-24,0
579958,2018-07-25,0
579957,2018-07-26,0
579956,2018-07-27,0
579955,2018-07-30,0
579954,2018-07-31,0
579953,2018-08-01,0
579952,2018-08-02,0
579951,2018-08-03,0
579950,2018-08-06,0
579949,2018-08-07,0
579948,2018-08-08,0
579947,2018-08-09,0
579946,2018-08-10,0
579945,2018-08-13,0
579944,2018-08-14,0
579943,2018-08-15,0
579942,2018-08-16,0
579941,2018-08-17,0
579940,2018-08-20,0
579939,2018-08-21,0
579938,2018-08-22,0
579937,2018-08-23,0
579936,2018-08-24,0
579935,2018-08-27,0
579934,2018-08-28,0
579933,2018-08-29,0
579932,2018-08-30,0
579931,2018-08-31,0
579930,2018-09-04,0
579929,2018-09-05,0
579928,2018-09-06,0
579927,2018-09-07,0
579926,2018-09-10,0
579925,2018-09-11,0
579924,2018-09-12,0
579923,2018-09-13,0
579922,2018-09-14,0
579921,2018-09-17,0
579920,2018-09-18,0
579919,2018-09-19,0
579918,2018-09-20,0
579917,2018-09-21,0
579916,2018-09-24,0
579915,2018-09-25,0
579914,2018-09-26,0
579913,2018-09-27,0
579912,2018-09-28,0
579911,2018-10-01,0
579910,2018-10-02,0
579909,2018-10-03,0
579908,2018-10-04,0
579907,2018-10-05,0
579906,2018-10-08,0
579905,2018-10-09,0
579904,2018-10-10,0
579903,2018-10-11,0
579902,2018-10-12,0
579901,2018-10-15,0
579900,2018-10-16,0
579899,2018-10-17,0
579898,2018-10-18,0
579897,2018-10-19,0
579896,2018-10-22,0
579895,2018-10-23,0
579894,2018-10-24,0
579893,2018-10-25,0
579892,2018-10-26,0
579891,2018-10-29,0
579890,2018-10-30,0
579889,2018-10-31,0
579888,2018-11-01,0
579887,2018-11-02,0
579886,2018-11-05,0
579885,2018-11-06,0
579884,2018-11-07,0
579883,2018-11-08,0
579882,2018-11-09,0
579881,2018-11-12,0
579880,2018-11-13,0
579879,2018-11-14,0
579878,2018-11-15,0
579877,2018-11-16,0
579876,2018-11-19,0
579875,2018-11-20,0
579874,2018-11-21,0
579873,2018-11-23,0
579872,2018-11-26,0
579871,2018-11-27,0
579870,2018-11-28,0
579869,2018-11-29,0
579868,2018-11-30,0
579867,2018-12-03,0
579866,2018-12-04,0
579865,2018-12-06,0
579864,2018-12-07,0
579863,2018-12-10,0
579862,2018-12-11,0
579861,2018-12-12,0
579860,2018-12-13,0
579859,2018-12-14,0
