Symbol|Security Name|Market Category|Reg SHO Threshold Flag|Rule 3210|Filler
AEHL|ANTELOPE ENTERPRISE HLDGS LTD|S|Y|N|
AEI|ALSET EHOME INTERNATIONAL INC.|S|Y|N|
AHPI|ALLIED HEALTHCARE PRODS INC CO|S|Y|N|
APOP|CELLECT BIOTECHNOLOGY LTD SPON|S|Y|N|
BCOW|1895 BANCORP WIS INC NEW COM (|S|Y|N|
BCTX|BRIACELL THERAPEUTICS INC  COM|S|Y|N|
BKCH|GLOBAL X FDS GLOBAL X BLOCKCHA|G|Y|N|
BLFY|BLUE FDRY BANCORP COM (DE)|Q|Y|N|
BLIN|BRIDGELINE DIGITAL INC COM PAR|S|Y|N|
CARV|CARVER BANCORP INC COM STK NEW|S|Y|N|
CRTD|CREATD INC  COM PAR $0.001|S|Y|N|
CULL|CULLMAN BANCORP INC-MD COM (MD|S|Y|N|
CYAD|CELYAD ONCOLOGY SA SPONSORED A|G|Y|N|
DTSS|DATASEA INC COM NEW|S|Y|N|
FFIE|FARADAY FUTURE INTELLIGENT ELE|G|Y|N|
IINN|INSPIRA TECHNOLOGIES OXY B H N|S|Y|N|
IMTE|INTEGRATED MEDIA TECHNOLOGY LT|S|Y|N|
IRCP|IRSA PROPIEDADES COMERCIALES S|Q|Y|N|
MDIA|MEDIACO HLDG INC CL A (IN)|S|Y|N|
MRIN|MARIN SOFTWARE INC COM STK NEW|G|Y|N|
NTEC|INTEC PHARMA LTD SHARES NEW (I|S|Y|N|
OLD|JANUS DETROIT LONG TERM CARE E|G|Y|N|
OXBR|OXBRIDGE RE HOLDINGS LTD ORD S|S|Y|N|
PBBK|PB BANKSHARES INC COM (MD)|S|Y|N|
SLVO|CREDIT SUISSE X-LINKS SILVER S|G|Y|N|
SNPX|SYNAPTOGENIX INC|S|Y|N|
SPRT|SUPPORT COM INC|S|Y|N|
STAF|STAFFING 360 SOLUTIONS  INC  C|S|Y|N|
TCBS|TEXAS CMNTY BANCSHARES INC COM|S|Y|N|
THCPU|THUNDER BRDG CAP PARTNERS IV U|G|Y|N|
TWCBU|BILANDER ACQUISITION CORP  UNI|S|Y|N|
VTNR|Vertex Energy, Inc|S|Y|N|
WGRO|WISDOMTREE TR U S GROWTH & MOM|G|Y|N|
WORX|SCWORX CORP COM (DE)|S|Y|N|
YVR|LIQUID MEDIA GROUP LTD NEW COM|S|Y|N|
20210726230002
